,Unnamed: 0,CBSA,MNAME,Modes,Year,UPT,VRM,UPT_ADJ,VRM_ADJ,VRH_ADJ,FARE_TOTAL,FARE_per_UPT,AREALANDPT,Tot_Pop,Tot_Instate_Pop,Tot_Outstate_Pop,Tot_NonUSA_POP,Total_Median_Income_Individual,Native_Instate_Med_Inc_Indiv,Native_Outstate_Med_Inc_Indiv,Native_Outcountry_Med_Inc_Indiv,Total_Pop_Poverty,Pop_Below100_Poverty,Pop_Below150_Poverty,Pop_Above150_Poverty,Age_under18,Age_18to64,Age_over64,Total_HH,HH_0Veh,HH_1Veh,HH_2Veh,HH_3Veh,HH_4+Veh,PCT_HH_NO_VEH,HH_MED_INC,HH_MEAN_INC,INC_U35,INC_35_100,INC_100P,JTW_DA,JTW_CARPOOL,JTW_TRANSIT,MEAN_TT,TOT_UNEMP_MSA,TOT_EMP_MSA,TOT_LABOR_MSA,UNEMP_RATE_PCT,EMP_RATE_PCT,Area_acre,POP_CENSUSTRACT,AVG_SPEED,GasPrice
0,0,10180,"Abilene, TX Metro Area",Bus,2005,507165,444176,507165,444176,31147,213965,0.421884397,141756054,146427,105269,33286,2591,20297,20244,21328,18960,146258,17.6,12.7,69.7,26.9,59.4,13.7,60532,2175,23133,24645,7899,2680,3.593140818,35535,45619,49.3,42.5,8.2,53169,7865,264,16.7,3375.75,76704.5,80080.25,4.218051392,95.78194925,1216,6947,14.26063505,2.23175
1,1,10180,"Abilene, TX Metro Area",Bus,2006,493638,441300,493638,441300,30750,201795,0.408791463,141756054,158548,113266,37165,2023,20570,19222,22110,29210,146298,15.8,13.3,70.9,25.2,61.2,13.6,59850,2356,21689,25837,7647,2321,3.936507937,39784,52364,44,46.1,9.9,55425,9243,233,17.4,3242.083333,78203.25,81445.33333,3.979641333,96.02035833,1216,6980,14.35121951,2.520666667
2,2,10180,"Abilene, TX Metro Area",Bus,2007,490254,424839,490254,424839,30435,217336,0.443313058,141756054,159439,111201,37761,3496,20408,18921,25843,23817,144006,15.1,10.8,74.1,24.7,61.6,13.7,60692,3218,20497,25691,8228,3058,5.302181507,39369,51693,44.1,46,9.9,55960,7030,251,16.3,2829.083333,77149.33333,79978.41667,3.536623758,96.46337567,1216,7013,13.95889601,2.719
3,3,10180,"Abilene, TX Metro Area",Bus,2008,473528,421757,473528,421757,31794,254879,0.538255394,141756054,160012,111912,38496,3609,23692,21792,29631,27383,147245,16.1,10.4,73.6,24.6,62.2,13.2,59960,2164,22931,24732,7910,2223,3.609072715,41961,58191,39.6,48.3,12.1,62316,7358,170,17.9,3100.583333,78900.25,82000.83333,3.779237533,96.22076217,1216,7046,13.26530163,3.193333333
4,4,10180,"Abilene, TX Metro Area",Bus,2009,478743,418714,478743,418714,30445,248600,0.519276522,141756054,160266,108498,38872,3335,21670,20923,26456,21698,148662,14.5,11.6,74,24,62.7,13.3,58052,3724,20561,21354,8712,3701,6.414938331,42931,54998,41.4,46.8,11.8,59145,9390,225,16.8,4810.5,77873.16667,82683.66667,5.812027167,94.18797242,1216,7079,13.75312859,2.270333333
5,5,10180,"Abilene, TX Metro Area",Bus,2010,456753,406871,456753,406871,39190,295374,0.646682124,141756054,164941,119325,34176,2316,21125,20803,22031,31605,150256,,,,23.5,63.2,13.3,59857,4672,18972,24464,8253,3496,7.805269225,40630,55007,41.6,45.2,13.2,56558,8876,506,17.5,5329.916667,71117.91667,76447.83333,6.972386283,93.02761383,1216,7112,10.38201072,2.700416667
6,6,10180,"Abilene, TX Metro Area",Bus,2011,472931,396021,472931,396021,29999,375006,0.792940196,141756054,165858,116692,38331,2204,20936,21009,21496,50788,151022,,,,23.3,63.3,13.4,58974,4119,21753,22514,8101,2487,6.984433818,40659,52221,44.1,44.9,11,54213,6098,473,15.7,5187.5,71646.33333,76833.83333,6.752076025,93.2479255,1216,7145,13.20114004,3.42275
7,7,10180,"Abilene, TX Metro Area",Bus,2012,0,0,0,0,0,368226,0,141756054,167800,120747,36919,1478,22600,22119,25407,34920,156020,,,,23.6,62.5,13.9,60066,3268,21030,24744,7973,3051,5.440681917,43407,60465,41,45.2,13.8,55646,8075,855,17.8,4437,71886,76323,5.813650875,94.18634925,1216,6981,0,3.485666667
8,8,10180,"Abilene, TX Metro Area",Bus,2013,0,0,0,0,0,390511,0,141756054,168144,122980,35701,1501,20994,20714,24156,22015,154458,16.8,12.6,70.6,23.4,62.2,14.4,60588,3361,22377,22363,9673,2814,5.547303096,44149,57937,40.1,45.9,14,60020,10914,282,16.9,4142,72287.66667,76429.66667,5.419619,94.5803815,1216,7323,0,3.374166667
9,9,10180,"Abilene, TX Metro Area",Bus,2014,0,0,0,0,0,408104,0,141756054,166900,115664,42262,2071,21906,21670,21892,24286,153923,16.5,11.3,72.2,23.1,62.4,14.5,59932,2056,22178,24905,8001,2792,3.430554629,44303,61532,38.8,46.2,15,61113,7561,309,17,3289.333333,72764.91667,76054.25,4.323456667,95.6765435,1216,7509,0,3.223166667
10,10,10180,"Abilene, TX Metro Area",Bus,2015,0,0,0,0,0,294009,0,141756054,168922,114679,42353,3164,23214,22370,25319,35224,155267,13.9,11.6,74.4,23.2,62.6,14.2,59372,3004,20918,24663,7364,3423,5.059624065,47420,65183,37.1,45.3,17.6,64055,7888,235,15.6,2872.833333,71817,74689.83333,3.846312008,96.15368783,1216,7185,0,2.250083333
