UZA Name,RailBus,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,NTD_ID,UZA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Anchorage, AK",DemandResponse,85,"251,243",77,"299,037",24,298.0,1130682.0,1131979.0,1664868.0,1302135.0,1881056.0,1883827.0,2507979.0,2510295.0,1880964.0,2841498.0,2395667.0,2100660.0,1687190.0
"Anchorage, AK",Other,85,"251,243",266,"352,701",41,149.0,1231778.0,1343905.0,1481165.0,1551649.0,1394379.0,1279438.0,1445703.0,14500525.0,15470981.0,16453864.0,19932525.0,21161796.0,23264241.0
"Anderson, IN",Bus,66,"88,133",45,"55,305",55082,660.0,104733.0,110318.0,99209.0,114392.0,110768.0,106616.0,125955.0,129319.0,124627.0,149342.0,145524.0,117266.0,108663.0
"Anderson, IN",DemandResponse,66,"88,133",45,"55,305",55082,660.0,50360.0,59536.0,48541.0,55605.0,50251.0,49917.0,52457.0,51983.0,47255.0,39983.0,50207.0,0.0,0.0
"Ann Arbor, MI",Bus,160,"306,022",110,"224,916",170280,875.0,2488755.0,2907408.0,2849722.0,2796746.0,3137393.0,3710019.0,4445853.0,5009302.0,5189827.0,5250772.0,5285565.0,5537524.0,6011021.0
"Ann Arbor, MI",Bus,160,"306,022",12,"66,641",60474,375.0,1293641.0,1327051.0,1682607.0,1580285.0,1464508.0,1642653.0,1691895.0,1903084.0,1975777.0,2126196.0,0.0,0.0,0.0
"Ann Arbor, MI",DemandResponse,160,"306,022",110,"224,916",220320,1000.0,349483.0,420586.0,456867.0,481239.0,513201.0,546035.0,571361.0,684459.0,986245.0,669082.0,1062847.0,1070903.0,751474.0
"Antioch, CA",Bus,81,"277,634",225,"306,000",99324,274.0,1884848.0,1905776.0,2136289.0,2286168.0,2224153.0,2409482.0,2444037.0,2533456.0,2957521.0,2905847.0,2782688.0,2811588.0,2612164.0
"Antioch, CA",DemandResponse,81,"277,634",225,"306,000",99324,274.0,183775.0,215701.0,278102.0,341588.0,311628.0,431533.0,510137.0,449819.0,482204.0,453129.0,464002.0,461843.0,411050.0
"Appleton, WI",Bus,104,"216,154",117,"216,154",110004,660.0,603582.0,677587.0,677421.0,723985.0,839303.0,775081.0,855377.0,847730.0,864964.0,841274.0,814025.0,847420.0,788481.0
"Appleton, WI",DemandResponse,104,"216,154",117,"216,154",55002,330.0,283601.0,347968.0,403065.0,467602.0,551471.0,531054.0,581101.0,563171.0,607893.0,654735.0,672891.0,672185.0,781655.0
"Asheville, NC",Bus,265,"280,648",45,"88,512",44010,266.0,658909.0,719587.0,553763.0,792678.0,751551.0,780103.0,881129.0,780902.0,800146.0,676236.0,670025.0,790462.0,651489.0
"Asheville, NC",Bus,265,"280,648",657,"238,318",44448,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16051.0,14056.0,14180.0,13505.0,12006.0
