,record,lma_title,Area_Code,Series ID,Month-Year,Unemployment_Labor
97,2431,"Jackson, MS Metropolitan Statistical Area",LAUMT2827140000000,LAUMT282714000000004,"Feb
2002",13942.0
98,2499,"Columbia, MO Metropolitan Statistical Area",LAUMT2917860000000,LAUMT291786000000004,"Feb
2002",3027.0
99,2585,"Springfield, MO Metropolitan Statistical Area",LAUMT2944180000000,LAUMT294418000000004,"Feb
2002",10520.0
100,2603,"Billings, MT Metropolitan Statistical Area",LAUMT3013740000000,LAUMT301374000000004,"Feb
2002",3361.0
101,2621,"Great Falls, MT Metropolitan Statistical Area",LAUMT3024500000000,LAUMT302450000000004,"Feb
2002",1864.0
102,2634,"Missoula, MT Metropolitan Statistical Area",LAUMT3033540000000,LAUMT303354000000004,"Feb
2002",2506.0
103,2707,"Lincoln, NE Metropolitan Statistical Area",LAUMT3130700000000,LAUMT313070000000004,"Feb
2002",5588.0
104,2948,"Manchester, NH Metropolitan NECTA",LAUMT3374950000000,LAUMT337495000000004,"Feb
2002",4770.0
105,3048,"Albuquerque, NM Metropolitan Statistical Area",LAUMT3510740000000,LAUMT351074000000004,"Feb
2002",18794.0
106,3074,"Santa Fe, NM Metropolitan Statistical Area",LAUMT3542140000000,LAUMT354214000000004,"Feb
2002",2774.0
107,3157,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",LAUMT3716740000000,LAUMT371674000000004,"Feb
2002",61355.0
108,3171,"Durham-Chapel Hill, NC Metropolitan Statistical Area",LAUMT3720500000000,LAUMT372050000000004,"Feb
2002",13060.0
109,3178,"Fayetteville, NC Metropolitan Statistical Area",LAUMT3722180000000,LAUMT372218000000004,"Feb
2002",9871.0
110,3184,"Greensboro-High Point, NC Metropolitan Statistical Area",LAUMT3724660000000,LAUMT372466000000004,"Feb
2002",24285.0
111,3190,"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",LAUMT3725860000000,LAUMT372586000000004,"Feb
2002",15851.0
112,3216,"Raleigh, NC Metropolitan Statistical Area",LAUMT3739580000000,LAUMT373958000000004,"Feb
2002",26830.0
113,3236,"Winston-Salem, NC Metropolitan Statistical Area",LAUMT3749180000000,LAUMT374918000000004,"Feb
2002",19307.0
114,3304,"Canton-Massillon, OH Metropolitan Statistical Area",LAUMT3915940000000,LAUMT391594000000004,"Feb
2002",13687.0
115,3318,"Columbus, OH Metropolitan Statistical Area",LAUMT3918140000000,LAUMT391814000000004,"Feb
2002",48273.0
116,3434,"Oklahoma City, OK Metropolitan Statistical Area",LAUMT4036420000000,LAUMT403642000000004,"Feb
2002",26241.0
117,3449,"Tulsa, OK Metropolitan Statistical Area",LAUMT4046140000000,LAUMT404614000000004,"Feb
2002",21055.0
118,3466,"Corvallis, OR Metropolitan Statistical Area",LAUMT4118700000000,LAUMT411870000000004,"Feb
2002",2410.0
119,3479,"Medford, OR Metropolitan Statistical Area",LAUMT4132780000000,LAUMT413278000000004,"Feb
2002",8347.0
120,3489,"Salem, OR Metropolitan Statistical Area",LAUMT4141420000000,LAUMT414142000000004,"Feb
2002",14965.0
121,3514,"Harrisburg-Carlisle, PA Metropolitan Statistical Area",LAUMT4225420000000,LAUMT422542000000004,"Feb
2002",13911.0
122,3523,"Lebanon, PA Metropolitan Statistical Area",LAUMT4230140000000,LAUMT423014000000004,"Feb
2002",3135.0
123,3561,"York-Hanover, PA Metropolitan Statistical Area",LAUMT4249620000000,LAUMT424962000000004,"Feb
2002",11121.0
124,3608,"Charleston-North Charleston, SC Metropolitan Statistical Area",LAUMT4516700000000,LAUMT451670000000004,"Feb
2002",12146.0
125,3617,"Columbia, SC Metropolitan Statistical Area",LAUMT4517900000000,LAUMT451790000000004,"Feb
2002",15189.0
126,3628,"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",LAUMT4524860000000,LAUMT452486000000004,"Feb
2002",20930.0
127,3646,"Sumter, SC Metropolitan Statistical Area",LAUMT4544940000000,LAUMT454494000000004,"Feb
2002",3144.0
128,3702,"Sioux Falls, SD Metropolitan Statistical Area",LAUMT4643620000000,LAUMT464362000000004,"Feb
2002",3478.0
129,3746,"Jackson, TN Metropolitan Statistical Area",LAUMT4727180000000,LAUMT472718000000004,"Feb
2002",4228.0
130,3755,"Knoxville, TN Metropolitan Statistical Area",LAUMT4728940000000,LAUMT472894000000004,"Feb
2002",20271.0
131,3780,"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",LAUMT4734980000000,LAUMT473498000000004,"Feb
2002",37125.0
132,3820,"Austin-Round Rock, TX Metropolitan Statistical Area",LAUMT4812420000000,LAUMT481242000000004,"Feb
2002",43655.0
133,3828,"Beaumont-Port Arthur, TX Metropolitan Statistical Area",LAUMT4813140000000,LAUMT481314000000004,"Feb
2002",13653.0
134,3844,"Brownsville-Harlingen, TX Metropolitan Statistical Area",LAUMT4815180000000,LAUMT481518000000004,"Feb
2002",12044.0
135,3854,"College Station-Bryan, TX Metropolitan Statistical Area",LAUMT4817780000000,LAUMT481778000000004,"Feb
2002",3826.0
136,3939,"Killeen-Temple, TX Metropolitan Statistical Area",LAUMT4828660000000,LAUMT482866000000004,"Feb
2002",7987.0
137,3951,"Laredo, TX Metropolitan Statistical Area",LAUMT4829700000000,LAUMT482970000000004,"Feb
2002",5643.0
138,3963,"Lubbock, TX Metropolitan Statistical Area",LAUMT4831180000000,LAUMT483118000000004,"Feb
2002",5495.0
139,4010,"San Angelo, TX Metropolitan Statistical Area",LAUMT4841660000000,LAUMT484166000000004,"Feb
2002",2277.0
140,4012,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",LAUMT4841700000000,LAUMT484170000000004,"Feb
2002",45780.0
141,4049,"Waco, TX Metropolitan Statistical Area",LAUMT4847380000000,LAUMT484738000000004,"Feb
2002",6129.0
142,4084,"Salt Lake City, UT Metropolitan Statistical Area",LAUMT4941620000000,LAUMT494162000000004,"Feb
2002",30755.0
143,4134,"Burlington-South Burlington, VT Metropolitan NECTA",LAUMT5072400000000,LAUMT507240000000004,"Feb
2002",4133.0
144,4351,"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",LAUMT5113980000000,LAUMT511398000000004,"Feb
2002",5503.0
145,4376,"Harrisonburg, VA Metropolitan Statistical Area",LAUMT5125500000000,LAUMT512550000000004,"Feb
2002",2308.0
146,4388,"Lynchburg, VA Metropolitan Statistical Area",LAUMT5131340000000,LAUMT513134000000004,"Feb
2002",6772.0
147,4407,"Richmond, VA Metropolitan Statistical Area",LAUMT5140060000000,LAUMT514006000000004,"Feb
2002",23617.0
148,4424,"Roanoke, VA Metropolitan Statistical Area",LAUMT5140220000000,LAUMT514022000000004,"Feb
2002",6801.0
149,4478,"Bellingham, WA Metropolitan Statistical Area",LAUMT5313380000000,LAUMT531338000000004,"Feb
2002",7351.0
150,4479,"Bremerton-Silverdale, WA Metropolitan Statistical Area",LAUMT5314740000000,LAUMT531474000000004,"Feb
2002",8337.0
151,4485,"Kennewick-Richland, WA Metropolitan Statistical Area",LAUMT5328420000000,LAUMT532842000000004,"Feb
2002",8518.0
152,4490,"Longview, WA Metropolitan Statistical Area",LAUMT5331020000000,LAUMT533102000000004,"Feb
2002",5025.0
153,4492,"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",LAUMT5334580000000,LAUMT533458000000004,"Feb
2002",4921.0
154,4495,"Olympia-Tumwater, WA Metropolitan Statistical Area",LAUMT5336500000000,LAUMT533650000000004,"Feb
2002",8102.0
155,4503,"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",LAUMT5342660000000,LAUMT534266000000004,"Feb
2002",114320.0
156,4507,"Spokane-Spokane Valley, WA Metropolitan Statistical Area",LAUMT5344060000000,LAUMT534406000000004,"Feb
2002",22763.0
157,4513,"Wenatchee, WA Metropolitan Statistical Area",LAUMT5348300000000,LAUMT534830000000004,"Feb
2002",5406.0
158,4515,"Yakima, WA Metropolitan Statistical Area",LAUMT5349420000000,LAUMT534942000000004,"Feb
2002",12911.0
159,4572,"Appleton, WI Metropolitan Statistical Area",LAUMT5511540000000,LAUMT551154000000004,"Feb
2002",7810.0
160,4586,"Eau Claire, WI Metropolitan Statistical Area",LAUMT5520740000000,LAUMT552074000000004,"Feb
2002",5930.0
161,4591,"Green Bay, WI Metropolitan Statistical Area",LAUMT5524580000000,LAUMT552458000000004,"Feb
2002",10463.0
162,4602,"Madison, WI Metropolitan Statistical Area",LAUMT5531540000000,LAUMT553154000000004,"Feb
2002",15128.0
163,4619,"Oshkosh-Neenah, WI Metropolitan Statistical Area",LAUMT5536780000000,LAUMT553678000000004,"Feb
2002",5322.0
164,4624,"Racine, WI Metropolitan Statistical Area",LAUMT5539540000000,LAUMT553954000000004,"Feb
2002",7411.0
165,4630,"Sheboygan, WI Metropolitan Statistical Area",LAUMT5543100000000,LAUMT554310000000004,"Feb
2002",3869.0
166,6,"Birmingham-Hoover, AL Metropolitan Statistical Area",LAUMT0113820000000,LAUMT011382000000004,"Mar
2002",26660.0
167,40,"Huntsville, AL Metropolitan Statistical Area",LAUMT0126620000000,LAUMT012662000000004,"Mar
2002",8879.0
168,46,"Mobile, AL Metropolitan Statistical Area",LAUMT0133660000000,LAUMT013366000000004,"Mar
2002",11701.0
169,48,"Montgomery, AL Metropolitan Statistical Area",LAUMT0133860000000,LAUMT013386000000004,"Mar
2002",8409.0
170,70,"Anchorage, AK Metropolitan Statistical Area",LAUMT0211260000000,LAUMT021126000000004,"Mar
2002",11669.0
171,98,"Flagstaff, AZ Metropolitan Statistical Area",LAUMT0422380000000,LAUMT042238000000004,"Mar
2002",3634.0
172,153,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",LAUMT0530780000000,LAUMT053078000000004,"Mar
2002",15647.0
173,189,"Bakersfield, CA Metropolitan Statistical Area",LAUMT0612540000000,LAUMT061254000000004,"Mar
2002",34629.0
174,191,"Chico, CA Metropolitan Statistical Area",LAUMT0617020000000,LAUMT061702000000004,"Mar
2002",7668.0
175,195,"El Centro, CA Metropolitan Statistical Area",LAUMT0620940000000,LAUMT062094000000004,"Mar
2002",6582.0
176,199,"Hanford-Corcoran, CA Metropolitan Statistical Area",LAUMT0625260000000,LAUMT062526000000004,"Mar
2002",6864.0
177,201,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",LAUMT0631080000000,LAUMT063108000000004,"Mar
2002",401211.0
178,205,"Merced, CA Metropolitan Statistical Area",LAUMT0632900000000,LAUMT063290000000004,"Mar
2002",12618.0
179,206,"Modesto, CA Metropolitan Statistical Area",LAUMT0633700000000,LAUMT063370000000004,"Mar
2002",23647.0
180,209,"Napa, CA Metropolitan Statistical Area",LAUMT0634900000000,LAUMT063490000000004,"Mar
2002",3240.0
181,210,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",LAUMT0637100000000,LAUMT063710000000004,"Mar
2002",22152.0
182,213,"Redding, CA Metropolitan Statistical Area",LAUMT0639820000000,LAUMT063982000000004,"Mar
2002",6644.0
183,220,"Salinas, CA Metropolitan Statistical Area",LAUMT0641500000000,LAUMT064150000000004,"Mar
2002",24902.0
184,222,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",LAUMT0641860000000,LAUMT064186000000004,"Mar
2002",140725.0
185,230,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",LAUMT0642100000000,LAUMT064210000000004,"Mar
2002",13084.0
186,231,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",LAUMT0642200000000,LAUMT064220000000004,"Mar
2002",11502.0
187,232,"Santa Rosa, CA Metropolitan Statistical Area",LAUMT0642220000000,LAUMT064222000000004,"Mar
2002",13623.0
188,236,"Stockton-Lodi, CA Metropolitan Statistical Area",LAUMT0644700000000,LAUMT064470000000004,"Mar
2002",26630.0
189,241,"Vallejo-Fairfield, CA Metropolitan Statistical Area",LAUMT0646700000000,LAUMT064670000000004,"Mar
2002",11810.0
190,243,"Yuba City, CA Metropolitan Statistical Area",LAUMT0649700000000,LAUMT064970000000004,"Mar
2002",7988.0
191,255,"Colorado Springs, CO Metropolitan Statistical Area",LAUMT0817820000000,LAUMT081782000000004,"Mar
2002",17970.0
192,274,"Fort Collins, CO Metropolitan Statistical Area",LAUMT0822660000000,LAUMT082266000000004,"Mar
2002",7426.0
193,453,"Springfield, MA-CT Metropolitan NECTA",LAUMT2578100000000,LAUMT257810000000004,"Mar
2002",18029.0
194,479,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",LAUMT4237980000000,LAUMT423798000000004,"Mar
2002",158687.0
195,481,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",LAUMT1147900000000,LAUMT114790000000004,"Mar
2002",113305.0
196,485,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",LAUMT1215980000000,LAUMT121598000000004,"Mar
2002",10776.0
197,487,"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",LAUMT1218880000000,LAUMT121888000000004,"Mar
2002",4833.0
198,489,"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",LAUMT1219660000000,LAUMT121966000000004,"Mar
2002",13953.0
199,493,"Gainesville, FL Metropolitan Statistical Area",LAUMT1223540000000,LAUMT122354000000004,"Mar
2002",4974.0
200,500,"Jacksonville, FL Metropolitan Statistical Area",LAUMT1227260000000,LAUMT122726000000004,"Mar
2002",32079.0
201,508,"Lakeland-Winter Haven, FL Metropolitan Statistical Area",LAUMT1229460000000,LAUMT122946000000004,"Mar
2002",13166.0
202,512,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",LAUMT1233100000000,LAUMT123310000000004,"Mar
2002",150377.0
203,515,"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area",LAUMT1234940000000,LAUMT123494000000004,"Mar
2002",5663.0
204,516,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",LAUMT1235840000000,LAUMT123584000000004,"Mar
2002",13958.0
205,518,"Ocala, FL Metropolitan Statistical Area",LAUMT1236100000000,LAUMT123610000000004,"Mar
2002",6716.0
206,520,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",LAUMT1236740000000,LAUMT123674000000004,"Mar
2002",55174.0
207,525,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",LAUMT1237340000000,LAUMT123734000000004,"Mar
2002",13831.0
208,526,"Panama City, FL Metropolitan Statistical Area",LAUMT1237460000000,LAUMT123746000000004,"Mar
2002",4685.0
209,528,"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",LAUMT1237860000000,LAUMT123786000000004,"Mar
2002",10026.0
210,530,"Port St. Lucie, FL Metropolitan Statistical Area",LAUMT1238940000000,LAUMT123894000000004,"Mar
2002",9134.0
211,533,"Sebastian-Vero Beach, FL Metropolitan Statistical Area",LAUMT1242680000000,LAUMT124268000000004,"Mar
2002",3338.0
212,536,"Tallahassee, FL Metropolitan Statistical Area",LAUMT1245220000000,LAUMT124522000000004,"Mar
2002",7546.0
