"Abilene, TX Metro Area",10180,14
"Akron, OH Metro Area",20840,13
"Akron, OH Metro Area",10420,1
"Albany, GA Metro Area",10500,14
"Albany-Schenectady-Troy, NY Metro Area",21160,14
"Albuquerque, NM Metro Area",10740,15
"Albuquerque, NM Metro Area",21480,13
"Alexandria, LA Metro Area",10780,14
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",10900,14
"Altoona, PA Metro Area",11020,14
"Amarillo, TX Metro Area",11100,14
"Ames, IA Metro Area",11180,14
"Anchorage, AK Metro Area",11260,14
"Anderson, IN Metro Area",11300,14
"Ann Arbor, MI Metro Area",22920,13
"Ann Arbor, MI Metro Area",11460,1
"Appleton, WI Metro Area",11540,14
"Asheville, NC Metro Area",23400,13
"Asheville, NC Metro Area",11700,1
"Athens-Clarke County, GA Metro Area",24040,13
"Athens-Clarke County, GA Metro Area",12020,1
"Atlanta-Sandy Springs-Marietta, GA Metro Area",24120,13
"Atlanta-Sandy Springs-Marietta, GA Metro Area",96480,13
"Atlanta-Sandy Springs-Marietta, GA Metro Area",12060,2
"Atlantic City-Hammonton, NJ Metro Area",12100,14
"Auburn-Opelika, AL Metro Area",24440,14
"Augusta-Richmond County, GA-SC Metro Area",12260,14
"Austin-Round Rock-San Marcos, TX Metro Area",12420,14
"Austin-Round Rock-San Marcos, TX Metro Area",24840,14
"Bakersfield-Delano, CA Metro Area",25080,14
"Baltimore-Towson, MD Metro Area",12580,14
"Baltimore-Towson, MD Metro Area",75480,13
"Baltimore-Towson, MD Metro Area",37740,1
"Bangor, ME Metro Area",12620,14
"Barnstable Town, MA Metro Area",12700,14
"Baton Rouge, LA Metro Area",12940,14
"Battle Creek, MI Metro Area",12980,14
"Bay City, MI Metro Area",13020,14
"Beaumont-Port Arthur, TX Metro Area",26280,14
"Bellingham, WA Metro Area",13380,14
"Bend, OR Metro Area",26920,13
"Bend, OR Metro Area",13460,1
"Billings, MT Metro Area",13740,14
"Binghamton, NY Metro Area",27560,13
"Binghamton, NY Metro Area",13780,1
"Birmingham-Hoover, AL Metro Area",13820,14
"Bismarck, ND Metro Area",13900,14
"Blacksburg-Christiansburg-Radford, VA Metro Area",13980,14
"Bloomington, IN Metro Area",14020,14
"Bloomington-Normal, IL Metro Area",14060,14
"Boise City-Nampa, ID Metro Area",14260,14
"Boston-Cambridge-Quincy, MA-NH Metro Area",14460,14
"Boston-Cambridge-Quincy, MA-NH Metro Area",173520,13
"Boston-Cambridge-Quincy, MA-NH Metro Area",72300,1
"Bowling Green, KY Metro Area",14540,14
"Bremerton-Silverdale, WA Metro Area",14740,14
"Bridgeport-Stamford-Norwalk, CT Metro Area",74300,13
"Bridgeport-Stamford-Norwalk, CT Metro Area",29720,1
"Brownsville-Harlingen, TX Metro Area",15180,14
"Buffalo-Niagara Falls, NY Metro Area",15380,28
"Burlington-South Burlington, VT Metro Area",15540,14
"Canton-Massillon, OH Metro Area",15940,14
"Cape Coral-Fort Myers, FL Metro Area",31960,14
"Casper, WY Metro Area",16220,14
"Cedar Rapids, IA Metro Area",16300,14
"Champaign-Urbana, IL Metro Area",16580,14
"Charleston, WV Metro Area",49860,13
"Charleston, WV Metro Area",33240,1
"Charleston-North Charleston-Summerville, SC Metro Area",16700,14
"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",16740,28
"Charlottesville, VA Metro Area",16820,14
"Chattanooga, TN-GA Metro Area",16860,28
"Cheyenne, WY Metro Area",16940,14
"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",67920,13
"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",135840,13
"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",33960,2
"Chico, CA Metro Area",34040,13
"Chico, CA Metro Area",17020,1
"Cincinnati-Middletown, OH-KY-IN Metro Area",17140,14
"Cincinnati-Middletown, OH-KY-IN Metro Area",85700,13
"Cincinnati-Middletown, OH-KY-IN Metro Area",34280,1
"Clarksville, TN-KY Metro Area",17300,14
"Cleveland, TN Metro Area",17420,14
