,Year,Mode,CLUSTER_APTA4,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
0,2002,0,1.0,2217.749582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217.749582,2217.749582,2217.749582,2217.749582,2217.749582,2217.749582
1,2003,0,1.0,2150.5025989999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2150.5025989999995,2150.5025989999995,2150.5025989999995,2150.5025989999995,2150.5025989999995,2150.5025989999995
2,2004,0,1.0,2410.97001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2410.97001,2410.97001,2410.97001,2410.97001,2410.97001,2410.97001
3,2005,0,1.0,2568.7535039999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2568.7535039999984,2568.7535039999984,2568.7535039999984,2568.7535039999984,2568.7535039999984,2568.7535039999984
4,2006,0,1.0,2599.1088170000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2599.1088170000003,2599.1088170000003,2599.1088170000003,2599.1088170000003,2599.1088170000003,2599.1088170000003
5,2007,0,1.0,2608.864140999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2608.864140999998,2608.864140999998,2608.864140999998,2608.864140999998,2608.864140999998,2608.864140999998
6,2008,0,1.0,2692.308348999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2692.308348999999,2692.308348999999,2692.308348999999,2692.308348999999,2692.308348999999,2692.308348999999
7,2009,0,1.0,2564.111221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564.111221,2564.111221,2564.111221,2564.111221,2564.111221,2564.111221
8,2010,0,1.0,2477.369489000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2477.369489000001,2477.369489000001,2477.369489000001,2477.369489000001,2477.369489000001,2477.369489000001
9,2011,0,1.0,2507.911502000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2507.911502000001,2507.911502000001,2507.911502000001,2507.911502000001,2507.911502000001,2507.911502000001
10,2012,0,1.0,2541.0570309999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2541.0570309999994,2541.0570309999994,2541.0570309999994,2541.0570309999994,2541.0570309999994,2541.0570309999994
11,2013,0,1.0,2538.567550000001,15320256.48390395,6529937.119318795,-12210318.426520113,-1088329.5049463424,-12437139.92972029,-39894662.36289496,15.32025648390395,6.529937119318795,-12.210318426520113,-1.0883295049463424,-12.43713992972029,-39.89466236289496,2523.247293516097,2532.0376128806824,2550.7778684265213,2539.6558795049473,2551.0046899297213,2578.462212362896
12,2014,0,1.0,2510.9234859999992,2799364.699618534,7378324.789697147,-3440403.95054892,-4682767.412879755,-15504484.674719162,-50496600.730129,18.119621183522487,13.908261909015943,-15.650722377069034,-5.771096917826098,-27.941624604439454,-90.39126309302395,2492.8038648164766,2497.0152240909833,2526.5742083770683,2516.6945829178253,2538.8651106044385,2601.3147490930232
13,2015,0,1.0,2445.688117000001,17786335.04851009,7497941.124310492,-20089434.08240389,-8541242.921182103,-75298478.47268689,-54922387.08467367,35.90595623203257,21.40620303332643,-35.74015645947293,-14.312339839008201,-103.24010307712634,-145.31365017769764,2409.7821607679684,2424.2819139666744,2481.428273459474,2460.000456839009,2548.928220077127,2591.0017671776986
14,2016,0,1.0,2323.5068830000005,17080324.708167665,4627144.796488708,-15961361.153643914,-11941281.15316514,-31611109.506399147,-53469123.266494915,52.98628094020024,26.033347829815142,-51.701517613116835,-26.25362099217334,-134.85121258352547,-198.78277344419254,2270.5206020598002,2297.473535170185,2375.208400613117,2349.7605039921737,2458.358095583526,2522.289656444193
15,2017,0,1.0,2230.8020969999993,9598009.244120974,4878042.191264348,24426564.49004592,-6785526.449876089,20418865.62396131,-44654416.58902368,62.58429018432121,30.911390021079487,-27.27495312307092,-33.039147442049426,-114.43234695956417,-243.4371900332162,2168.217806815678,2199.8907069789198,2258.0770501230704,2263.8412444420487,2345.2344439595636,2474.2392870332155
16,2018,0,1.0,2176.3866030000004,4594965.167467549,5459864.3920436185,20065591.094437063,-7874490.656021584,25062075.52602605,-92626814.34677623,67.17925535178875,36.37125441312311,-7.209362028633855,-40.91363809807101,-89.37027143353811,-336.0640043799924,2109.2073476482115,2140.0153485868773,2183.595965028634,2217.300241098071,2265.7568744335385,2512.450607379993
