,CBSA,MNAME,APTA_CLUSTER
1753,26140,"Homosassa Springs, FL Metro Area",
1758,26300,"Hot Springs, AR Metro Area",Low
1771,26420,"Houston-Sugar Land-Baytown, TX Metro Area",High
1779,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",High
1784,26580,"Huntington-Ashland, WV-KY-OH Metro Area",Low
1797,26620,"Huntsville, AL Metro Area",Low
1810,26820,"Idaho Falls, ID Metro Area",Low
1823,26900,"Indianapolis, IN Metro Area",Mid
1824,26900,"Indianapolis-Carmel, IN Metro Area",Mid
1831,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",Mid
1836,26980,"Iowa City, IA Metro Area",Low
1849,27060,"Ithaca, NY Metro Area",Low
1862,27100,"Jackson, MI Metro Area",Low
1875,27140,"Jackson, MS Metro Area",Low
1888,27180,"Jackson, TN Metro Area",Low
1901,27260,"Jacksonville, FL Metro Area",Mid
1914,27340,"Jacksonville, NC Metro Area",Low
1927,27500,"Janesville, WI Metro Area",Low
1935,27500,"Janesville-Beloit, WI Metro Area",Low
1940,27620,"Jefferson City, MO Metro Area",Low
1953,27740,"Johnson City, TN Metro Area",Low
1966,27780,"Johnstown, PA Metro Area",Low
1979,27860,"Jonesboro, AR Metro Area",Low
1992,27900,"Joplin, MO Metro Area",Low
2005,27980,"Kahului-Wailuku-Lahaina, HI Metro Area",
2010,28020,"Kalamazoo-Portage, MI Metro Area",Low
2023,28100,"Kankakee-Bradley, IL Metro Area",Low
2031,28100,"Kankakee, IL Metro Area",Low
2036,28140,"Kansas City, MO-KS Metro Area",Mid
2049,28420,"Kennewick-Richland-Pasco, WA Metro Area",Mid
2052,28420,"Kennewick-Pasco-Richland, WA Metro Area",Mid
2057,28420,"Kennewick-Richland, WA Metro Area",Mid
2062,28660,"Killeen-Temple-Fort Hood, TX Metro Area",Low
2070,28660,"Killeen-Temple, TX Metro Area",Low
2075,28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",Low
2088,28740,"Kingston, NY Metro Area",Low
2101,28940,"Knoxville, TN Metro Area",Low
