CBSA,CBSA Name
10420,"Akron, OH Metro Area"
10500,"Albany, GA Metro Area"
10580,"Albany-Schenectady-Troy, NY Metro Area"
10740,"Albuquerque, NM Metro Area"
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area"
11020,"Altoona, PA Metro Area"
11180,"Ames, IA Metro Area"
11260,"Anchorage, AK Metro Area"
11460,"Ann Arbor, MI Metro Area"
11540,"Appleton, WI Metro Area"
11700,"Asheville, NC Metro Area"
12020,"Athens-Clarke County, GA Metro Area"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area"
12260,"Augusta-Richmond County, GA-SC Metro Area"
12420,"Austin-Round Rock, TX Metro Area"
12540,"Bakersfield, CA Metro Area"
12580,"Baltimore-Columbia-Towson, MD Metro Area"
12700,"Barnstable Town, MA Metro Area"
12940,"Baton Rouge, LA Metro Area"
13020,"Bay City, MI Metro Area"
13140,"Beaumont-Port Arthur, TX Metro Area"
13380,"Bellingham, WA Metro Area"
13460,"Bend-Redmond, OR Metro Area"
13740,"Billings, MT Metro Area"
13780,"Binghamton, NY Metro Area"
13820,"Birmingham-Hoover, AL Metro Area"
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area"
14010,"Bloomington, IL Metro Area"
14020,"Bloomington, IN Metro Area"
14260,"Boise City, ID Metro Area"
14460,"Boston-Cambridge-Newton, MA-NH Metro Area"
14740,"Bremerton-Silverdale, WA Metro Area"
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area"
15180,"Brownsville-Harlingen, TX Metro Area"
15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area"
15540,"Burlington-South Burlington, VT Metro Area"
15940,"Canton-Massillon, OH Metro Area"
15980,"Cape Coral-Fort Myers, FL Metro Area"
16060,"Carbondale-Marion, IL Metro Area"
16300,"Cedar Rapids, IA Metro Area"
16580,"Champaign-Urbana, IL Metro Area"
16620,"Charleston, WV Metro Area"
16700,"Charleston-North Charleston, SC Metro Area"
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area"
16860,"Chattanooga, TN-GA Metro Area"
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area"
17020,"Chico, CA Metro Area"
17140,"Cincinnati, OH-KY-IN Metro Area"
17460,"Cleveland-Elyria, OH Metro Area"
17780,"College Station-Bryan, TX Metro Area"
17820,"Colorado Springs, CO Metro Area"
17860,"Columbia, MO Metro Area"
17900,"Columbia, SC Metro Area"
18140,"Columbus, OH Metro Area"
18580,"Corpus Christi, TX Metro Area"
18700,"Corvallis, OR Metro Area"
18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area"
19100,"Dallas-Fort Worth-Arlington, TX Metro Area"
19300,"Daphne-Fairhope-Foley, AL Metro Area"
19340,"Davenport-Moline-Rock Island, IA-IL Metro Area"
19380,"Dayton, OH Metro Area"
19500,"Decatur, IL Metro Area"
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area"
19740,"Denver-Aurora-Lakewood, CO Metro Area"
19780,"Des Moines-West Des Moines, IA Metro Area"
19820,"Detroit-Warren-Dearborn, MI Metro Area"
20260,"Duluth, MN-WI Metro Area"
20500,"Durham-Chapel Hill, NC Metro Area"
20700,"East Stroudsburg, PA Metro Area"
20740,"Eau Claire, WI Metro Area"
20940,"El Centro, CA Metro Area"
21060,"Elizabethtown-Fort Knox, KY Metro Area"
21140,"Elkhart-Goshen, IN Metro Area"
21340,"El Paso, TX Metro Area"
21500,"Erie, PA Metro Area"
21660,"Eugene, OR Metro Area"
21780,"Evansville, IN-KY Metro Area"
22020,"Fargo, ND-MN Metro Area"
22180,"Fayetteville, NC Metro Area"
22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area"
22380,"Flagstaff, AZ Metro Area"
22420,"Flint, MI Metro Area"
22660,"Fort Collins, CO Metro Area"
23060,"Fort Wayne, IN Metro Area"
23420,"Fresno, CA Metro Area"
23540,"Gainesville, FL Metro Area"
24340,"Grand Rapids-Wyoming, MI Metro Area"
24500,"Great Falls, MT Metro Area"
24580,"Green Bay, WI Metro Area"
24660,"Greensboro-High Point, NC Metro Area"
24860,"Greenville-Anderson-Mauldin, SC Metro Area"
25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area"
25260,"Hanford-Corcoran, CA Metro Area"
25420,"Harrisburg-Carlisle, PA Metro Area"
25500,"Harrisonburg, VA Metro Area"
25540,"Hartford-West Hartford-East Hartford, CT Metro Area"
25860,"Hickory-Lenoir-Morganton, NC Metro Area"
26090,"Holland, MI Micro Area"
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area"
26580,"Huntington-Ashland, WV-KY-OH Metro Area"
26620,"Huntsville, AL Metro Area"
26900,"Indianapolis-Carmel-Anderson, IN Metro Area"
26980,"Iowa City, IA Metro Area"
27060,"Ithaca, NY Metro Area"
27100,"Jackson, MI Metro Area"
27140,"Jackson, MS Metro Area"
27180,"Jackson, TN Metro Area"
27260,"Jacksonville, FL Metro Area"
27780,"Johnstown, PA Metro Area"
27980,"Kahului-Wailuku-Lahaina, HI Metro Area"
28020,"Kalamazoo-Portage, MI Metro Area"
28100,"Kankakee, IL Metro Area"
