CBSA,CBSA_NAME,Metropolitan Statistical Area,Abbreviation,State,Rail Cluster,Cluster
10420,"Akron, OH Metro Area",Akron,AKR,OH,,1
10500,"Albany, GA Metro Area",Albany,ALBGA,GA,,1
10580,"Albany-Schenectady-Troy, NY Metro Area",Albany-Schenectady-Troy,ALBNY,NY,,1
10740,"Albuquerque, NM Metro Area",Albuquerque,ALQ,NM,,2
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Allentown-Bethlehem-Easton,ABE,PA-NJ,,1
11020,"Altoona, PA Metro Area",Altoona,ALT,PA,,1
11180,"Ames, IA Metro Area",Ames,AMES,IA,,2
11260,"Anchorage, AK Metro Area",Anchorage,ANC,AK,,2
11460,"Ann Arbor, MI Metro Area",Ann Arbor,AA,MI,,1
11540,"Appleton, WI Metro Area",Appleton,APP,WI,,2
12020,"Athens-Clarke County, GA Metro Area",Athens-Clarke County,ATH,GA,,3
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",Atlanta-Sandy Springs-Roswell,ATL,GA,E,4
12260,"Augusta-Richmond County, GA-SC Metro Area",Augusta-Richmond County,AUG,GA-SC,,3
12420,"Austin-Round Rock, TX Metro Area",Austin-Round Rock,AUS,TX,,2
12540,"Bakersfield, CA Metro Area",Bakersfield,BAK,CA,,2
12580,"Baltimore-Columbia-Towson, MD Metro Area",Baltimore-Columbia-Towson,BAL,MD,C,1
12940,"Baton Rouge, LA Metro Area",Baton Rouge,BTR,LA,,3
13020,"Bay City, MI Metro Area",Bay City,BAY,MI,,3
13140,"Beaumont-Port Arthur, TX Metro Area",Beaumont-Port Arthur,BEA,TX,,3
13380,"Bellingham, WA Metro Area",Bellingham,BEL,WA,,3
13740,"Billings, MT Metro Area",Billings,BIL,MT,,2
13780,"Binghamton, NY Metro Area",Binghamton,BIN,NY,,1
13820,"Birmingham-Hoover, AL Metro Area",Birmingham-Hoover,BIR,AL,,3
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",Blacksburg-Christiansburg-Radford,BLA,VA,,3
14010,"Bloomington, IL Metro Area",Bloomington,BLO,IL,,2
14020,"Bloomington, IN Metro Area",Bloomington,BLO,IN,,3
14260,"Boise City, ID Metro Area",Boise City,BOI,ID,,2
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",Boston-Cambridge-Newton,BOS,MA-NH,B,5
14740,"Bremerton-Silverdale, WA Metro Area",Bremerton-Silverdale,BRM,WA,,3
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",Bridgeport-Stamford-Norwalk,BRI,CT,,1
15180,"Brownsville-Harlingen, TX Metro Area",Brownsville-Harlingen,BRO,TX,,3
15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",Buffalo-Cheektowaga-Niagara Falls,BUF,NY,C,1
15540,"Burlington-South Burlington, VT Metro Area",Burlington-South Burlington,BUR,VT,,3
15940,"Canton-Massillon, OH Metro Area",Canton-Massillon,CAN,OH,,3
15980,"Cape Coral-Fort Myers, FL Metro Area",Cape Coral-Fort Myers,FTM,FL,,3
16300,"Cedar Rapids, IA Metro Area",Cedar Rapids,CED,IA,,2
16580,"Champaign-Urbana, IL Metro Area",Champaign-Urbana,URB,IL,,1
16620,"Charleston, WV Metro Area",Charleston,CHS,WV,,1
16700,"Charleston-North Charleston, SC Metro Area",Charleston-North Charleston,CHS,SC,,3
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Charlotte-Concord-Gastonia,CHA,NC-SC,E,2
16860,"Chattanooga, TN-GA Metro Area",,,,,3
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",,,,B,5
17020,"Chico, CA Metro Area",Chico,CHICO,CA,,3
17140,"Cincinnati, OH-KY-IN Metro Area",,,,,2
17460,"Cleveland-Elyria, OH Metro Area",Cleveland-Elyria,CLE,OH,C,1
17780,"College Station-Bryan, TX Metro Area",College Station-Bryan,CSB,TX,,2
17820,"Colorado Springs, CO Metro Area",Colorado Springs,COS,CO,,2
17860,"Columbia, MO Metro Area",Columbia,COL,MO,,3
17900,"Columbia, SC Metro Area",Columbia,CAE,SC,,3
18140,"Columbus, OH Metro Area",Columbus,CMH,OH,,2
18580,"Corpus Christi, TX Metro Area",Corpus Christi,CC,TX,,1
18700,"Corvallis, OR Metro Area",Corvallis,COR,OR,,2
18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",Crestview-Fort Walton Beach-Destin,DES,FL,,3
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",Dallas-Fort Worth-Arlington,DAL,TX,E,4
19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",Davenport-Moline-Rock Island,DAV,IA-IL,,2
19380,"Dayton, OH Metro Area",Dayton,DAY,OH,,1
19500,"Decatur, IL Metro Area",Decatur,DEC,IL,,1
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",Deltona-Daytona Beach-Ormond Beach,DAY,FL,,3
19740,"Denver-Aurora-Lakewood, CO Metro Area",Denver-Aurora-Lakewood,DEN,CO,D,4
19780,"Des Moines-West Des Moines, IA Metro Area",Des Moines-West Des Moines,DSM,IA,,2
19820,"Detroit-Warren-Dearborn, MI Metro Area",Detroit-Warren-Dearborn,DET,MI,,1
20260,"Duluth, MN-WI Metro Area",Duluth,DUL,MN-WI,,3
20500,"Durham-Chapel Hill, NC Metro Area",Durham-Chapel Hill,DUR,NC,,3
20740,"Eau Claire, WI Metro Area",Eau Claire,EC,WI,,3
20940,"El Centro, CA Metro Area",El Centro,CEN,CA,,2
21060,"Elizabethtown-Fort Knox, KY Metro Area",Elizabethtown-Fort Knox,FTK,KY,,3
21140,"Elkhart-Goshen, IN Metro Area",Elkhart-Goshen,ELK,IN,,2
21340,"El Paso, TX Metro Area",El Paso,ELP,TX,,3
