MNAME,CLUSTER_GT_NEW_11,CLUSTER_GT_ORIGINAL,CLUSTER_GT_8_GROUPS,CLUSTER_APTA,CLUSTER_NOTE
"Eau Claire,  WI Metro Area",4,3,E,33,
"El Centro,  CA Metro Area",2,2,G,31,
"El Paso,  TX Metro Area",2,2,G,22,
"Elizabethtown-Fort Knox,  KY Metro Area",4,3,E,34,
"Elkhart-Goshen,  IN Metro Area",7,3,D,34,
"Erie,  PA Metro Area",1,1,H,31,
"Eugene,  OR Metro Area",1,1,H,23,
"Evansville,  KY Metro Area",7,3,D,34,
"Fargo,  MN Metro Area",2,2,G,31,
"Fayetteville,  NC Metro Area",4,3,E,34,
"Fayetteville-Springdale-Rogers,  MO Metro Area",4,3,E,34,
"Flagstaff,  AZ Metro Area",4,3,E,33,
"Flint,  MI Metro Area",1,1,H,33,
"Fort Collins,  CO Metro Area",3,3,F,31,
"Fort Wayne,  IN Metro Area",7,3,D,32,
"Fresno,  CA Metro Area",1,1,H,22,
"Gainesville,  FL Metro Area",7,3,D,31,
"Gainesville,  FL Metro Area",7,3,D,34,
"Grand Rapids-Wyoming,  MI Metro Area",3,3,F,23,
"Great Falls,  MT Metro Area",7,3,D,32,
"Green Bay,  WI Metro Area",3,3,F,32,
"Greensboro-High Point,  NC Metro Area",4,3,E,33,
"Greenville-Anderson-Mauldin,  SC Metro Area",4,3,E,34,
"Gulfport-Biloxi-Pascagoula,  MS Metro Area",4,3,E,34,
"Hanford-Corcoran,  CA Metro Area",7,3,D,31,
"Harrisburg-Carlisle,  PA Metro Area",7,3,D,24,
"Harrisonburg,  VA Metro Area",7,3,D,31,
"Hartford-West Hartford-East Hartford,  CT Metro Area",1,1,H,23,
"Hickory-Lenoir-Morganton,  NC Metro Area",4,3,E,34,
"Holland,  MI Metro Area",4,3,E,34,"Assumed to be Low OPEX, Less Favorable External Factors,    Weaker Competitiveness"
"Houston-The Woodlands-Sugar Land,  TX Metro Area",5,4,B,10,
"Huntington-Ashland,  OH Metro Area",7,3,D,34,
"Huntsville,  AL Metro Area",4,3,E,34,
"Indianapolis-Carmel-Anderson,  IN Metro Area",3,3,F,24,
"Iowa City,  IA Metro Area",2,2,G,31,
"Ithaca,  NY Metro Area",1,1,H,31,
"Jackson,  MI Metro Area",7,3,D,34,
"Jackson,  TN Metro Area",7,3,D,34,
"Jackson,  MS Metro Area",4,3,E,34,
"Jacksonville,  FL Metro Area",4,3,E,24,
"Johnstown,  PA Metro Area",1,1,H,33,
"Kahului-Wailuku-Lahaina,  HI Metro Area",3,3,F,34,"Assumed to be Low OPEX, Less Favorable External Factors,    Weaker Competitiveness"
"Kalamazoo-Portage,  MI Metro Area",7,3,D,33,
"Kankakee,  IL Metro Area",7,3,D,33,
"Kansas City,  KS Metro Area",3,3,F,24,
"Kennewick-Richland,  WA Metro Area",4,3,E,24,
"Killeen-Temple,  TX Metro Area",3,3,F,32,
"Knoxville,  TN Metro Area",4,3,E,34,
"Kokomo,  IN Metro Area",7,3,D,34,"Assumed to be Low OPEX, Less Favorable External Factors,    Weaker Competitiveness"
"La Crosse-Onalaska,  WI Metro Area",3,3,F,31,
"Lafayette,  LA Metro Area",7,3,D,34,
"Lafayette-West Lafayette,  IN Metro Area",7,3,D,31,
