,CBSA,MNAME,CLUSTER_GT,CLUSTER_APTA
0,10420,"Akron, OH Metro Area",1,24.0
1,10500,"Albany, GA Metro Area",1,34.0
2,10580," Albany-Schenectady-Troy, NY Metro Area",1,23.0
3,10740,"Albuquerque, NM Metro Area",2,22.0
4,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",1,22.0
5,11020,"Altoona, PA Metro Area",1,32.0
6,11180,"Ames, IA Metro Area",2,31.0
7,11260,"Anchorage, AK Metro Area",2,24.0
8,11460,"Ann Arbor, MI Metro Area",1,23.0
9,11540,,2,
10,12020,"Athens-Clarke County, GA Metro Area",3,33.0
11,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",4,10.0
12,12260,"Augusta-Richmond County, GA-SC Metro Area",3,34.0
13,12420,"Austin-Round Rock, TX Metro Area",2,23.0
14,12540,,2,22.0
15,12580,"Baltimore-Columbia-Towson, MD Metro Area",1,10.0
16,12940,"Baton Rouge, LA Metro Area",3,34.0
17,13020,"Bay City, MI Metro Area",3,34.0
18,13140,"Beaumont-Port Arthur, TX Metro Area",3,34.0
19,13380,"Bellingham, WA Metro Area",3,33.0
20,13740,"Billings, MT Metro Area",2,32.0
21,13780,"Binghamton, NY Metro Area",1,31.0
22,13820,"Birmingham-Hoover, AL Metro Area",3,24.0
23,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",3,33.0
24,14010,"Bloomington, IL Metro Area",2,31.0
25,14020,"Bloomington, IN Metro Area",3,31.0
26,14260,"Boise City, ID Metro Area",2,32.0
27,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",5,10.0
28,14740,"Bremerton-Silverdale, WA Metro Area",3,23.0
29,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",1,21.0
30,15180,"Brownsville-Harlingen, TX Metro Area",3,32.0
31,15380,,1,21.0
32,15540,"Burlington-South Burlington, VT Metro Area",3,31.0
33,15940,"Canton-Massillon, OH Metro Area",3,31.0
34,15980,"Cape Coral-Fort Myers, FL Metro Area",3,32.0
35,16300,"Cedar Rapids, IA Metro Area",2,34.0
36,16580,"Champaign-Urbana, IL Metro Area",1,21.0
37,16620,"Charleston, WV Metro Area",1,33.0
38,16700,"Charleston-North Charleston, SC Metro Area",3,32.0
39,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2,24.0
40,16860,"Chattanooga, TN-GA Metro Area",3,33.0
41,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",5,10.0
42,17020,"Chico, CA Metro Area",3,31.0
43,17140,"Cincinnati, OH-KY-IN Metro Area",2,24.0
44,17460,"Cleveland-Elyria, OH Metro Area",1,21.0
45,17780,"College Station-Bryan, TX Metro Area",2,32.0
46,17820,"Colorado Springs, CO Metro Area",2,32.0
47,17860,"Columbia, MO Metro Area",3,33.0
48,17900,"Columbia, SC Metro Area",3,34.0
49,18140,"Columbus, OH Metro Area",2,24.0
50,18580,"Corpus Christi, TX Metro Area",1,24.0
51,18700,"Corvallis, OR Metro Area",2,31.0
52,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",3,32.0
53,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",4,10.0
54,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",2,31.0
55,19380,"Dayton, OH Metro Area",1,24.0
56,19500,"Decatur, IL Metro Area",1,33.0
57,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",3,24.0
58,19740,"Denver-Aurora-Lakewood, CO Metro Area",4,10.0
59,19780,"Des Moines-West Des Moines, IA Metro Area",2,31.0
60,19820,"Detroit-Warren-Dearborn, MI Metro Area",1,22.0
61,20260,"Duluth, MN-WI Metro Area",3,33.0
62,20500,"Durham-Chapel Hill, NC Metro Area",3,23.0
63,20740,"Eau Claire, WI Metro Area",3,33.0
64,20940,"El Centro, CA Metro Area",2,31.0
65,21060,"Elizabethtown-Fort Knox, KY Metro Area",3,34.0
66,21140,"Elkhart-Goshen, IN Metro Area",2,34.0
67,21340,"El Paso, TX Metro Area",3,22.0
68,21500,"Erie, PA Metro Area",1,31.0
69,21660,"Eugene, OR Metro Area",1,23.0
70,21780,"Evansville, IN-KY Metro Area",3,34.0
71,22020,"Fargo, ND-MN Metro Area",2,31.0
72,22180,"Fayetteville, NC Metro Area",3,34.0
73,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",3,34.0
74,22380,,3,33.0
75,22420,"Flint, MI Metro Area",1,33.0
76,22660,"Fort Collins, CO Metro Area",2,31.0
77,23060,"Fort Wayne, IN Metro Area",3,32.0
78,23420,"Fresno, CA Metro Area",1,22.0
79,23540,"Gainesville, FL Metro Area",3,31.0
80,24340,"Grand Rapids-Wyoming, MI Metro Area",2,23.0
81,24500,"Great Falls, MT Metro Area",3,32.0
82,24580,"Green Bay, WI Metro Area",2,32.0
83,24660,"Greensboro-High Point, NC Metro Area",3,33.0
84,24860,"Greenville-Anderson-Mauldin, SC Metro Area",3,34.0
85,25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",3,34.0
86,25260,"Hanford-Corcoran, CA Metro Area",3,31.0
87,25420,"Harrisburg-Carlisle, PA Metro Area",3,24.0
88,25500,"Harrisonburg, VA Metro Area",3,31.0
89,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1,23.0
90,25860,"Hickory-Lenoir-Morganton, NC Metro Area",3,34.0
91,26090,,3,
92,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",4,10.0
93,26580,"Huntington-Ashland, WV-KY-OH Metro Area",3,34.0
94,26620,"Huntsville, AL Metro Area",3,34.0
95,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",2,24.0
96,26980,"Iowa City, IA Metro Area",2,31.0
97,27060,"Ithaca, NY Metro Area",1,31.0
98,27100,"Jackson, MI Metro Area",3,34.0
99,27140,"Jackson, MS Metro Area",3,34.0
100,27180,"Jackson, TN Metro Area",3,34.0
101,27260,"Jacksonville, FL Metro Area",3,24.0
102,27780,"Johnstown, PA Metro Area",1,33.0
103,27980,,2,
104,28020,"Kalamazoo-Portage, MI Metro Area",3,33.0
105,28100,"Kankakee, IL Metro Area",3,33.0
106,28140,"Kansas City, MO-KS Metro Area",2,24.0
107,28420,"Kennewick-Richland, WA Metro Area",3,24.0
108,28660,"Killeen-Temple, TX Metro Area",2,32.0
109,28940,"Knoxville, TN Metro Area",3,34.0
110,29020,,3,
111,29100,"La Crosse-Onalaska, WI-MN Metro Area",2,31.0
112,29180,"Lafayette, LA Metro Area",3,34.0
113,29200,"Lafayette-West Lafayette, IN Metro Area",3,31.0
114,29460,"Lakeland-Winter Haven, FL Metro Area",3,34.0
115,29540,"Lancaster, PA Metro Area",1,24.0
116,29620,"Lansing-East Lansing, MI Metro Area",3,23.0
117,29700,"Laredo, TX Metro Area",2,31.0
118,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",4,21.0
119,29940,"Lawrence, KS Metro Area",2,31.0
120,30140,"Lebanon, PA Metro Area",2,32.0
121,30460,"Lexington-Fayette, KY Metro Area",2,31.0
122,30700,"Lincoln, NE Metro Area",2,31.0
123,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",3,34.0
124,30860,"Logan, UT-ID Metro Area",2,31.0
125,31020,"Longview, WA Metro Area",3,32.0
126,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",5,10.0
127,31140,,1,33.0
128,31180,"Lubbock, TX Metro Area",2,31.0
129,31340,"Lynchburg, VA Metro Area",3,33.0
130,31540,"Madison, WI Metro Area",2,21.0
131,31700,"Manchester-Nashua, NH Metro Area",2,32.0
132,32780,"Medford, OR Metro Area",3,32.0
133,32820,"Memphis, TN-MS-AR Metro Area",1,24.0
134,32900,"Merced, CA Metro Area",3,32.0
135,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",5,10.0
136,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",1,21.0
137,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",1,10.0
138,33540,"Missoula, MT Metro Area",2,31.0
139,33660,"Mobile, AL Metro Area",3,34.0
140,33700,"Modesto, CA Metro Area",2,32.0
141,33860,"Montgomery, AL Metro Area",3,34.0
142,34580,"Mount Vernon-Anacortes, WA Metro Area",3,33.0
143,34620,"Muncie, IN Metro Area",3,31.0
144,34900,"Napa, CA Metro Area",2,31.0
145,34940,"Naples-Immokalee-Marco Island, FL Metro Area",2,32.0
146,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",2,24.0
147,35300,"New Haven-Milford, CT Metro Area",1,21.0
148,35380,"New Orleans-Metairie, LA Metro Area",1,21.0
149,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",6,10.0
150,35660,"Niles-Benton Harbor, MI Metro Area",3,34.0
151,35840,"North Port-Sarasota-Bradenton, FL Metro Area",2,24.0
152,36100,"Ocala, FL Metro Area",3,34.0
153,36420,"Oklahoma City, OK Metro Area",2,24.0
154,36500,"Olympia-Tumwater, WA Metro Area",3,23.0
155,36540,,2,32.0
156,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2,24.0
157,36780,"Oshkosh-Neenah, WI Metro Area",2,32.0
158,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",2,22.0
159,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",3,32.0
160,37460,"Panama City, FL Metro Area",3,34.0
161,37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",3,34.0
162,37900,"Peoria, IL Metro Area",3,33.0
163,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5,10.0
164,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4,10.0
165,38300,"Pittsburgh, PA Metro Area",1,10.0
166,38340,,1,34.0
167,38860,"Portland-South Portland, ME Metro Area",3,23.0
168,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",4,10.0
169,38940,"Port St. Lucie, FL Metro Area",3,32.0
170,39300,"Providence-Warwick, RI-MA Metro Area",1,22.0
171,39380,"Pueblo, CO Metro Area",1,32.0
172,39540,"Racine, WI Metro Area",3,31.0
173,39580,"Raleigh, NC Metro Area",2,24.0
174,39740,"Reading, PA Metro Area",1,31.0
175,39820,"Redding, CA Metro Area",3,34.0
176,39900,"Reno, NV Metro Area",1,21.0
177,40060,"Richmond, VA Metro Area",3,24.0
178,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4,22.0
179,40220,"Roanoke, VA Metro Area",3,33.0
180,40340,"Rochester, MN Metro Area",3,33.0
181,40380,"Rochester, NY Metro Area",1,23.0
182,40420,"Rockford, IL Metro Area",3,32.0
183,40660,"Rome, GA Metro Area",3,33.0
184,40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",4,22.0
185,40980,"Saginaw, MI Metro Area",1,34.0
186,41060,"St. Cloud, MN Metro Area",1,33.0
187,41180,"St. Louis, MO-IL Metro Area",2,23.0
188,41420,"Salem, OR Metro Area",2,24.0
189,41500,"Salinas, CA Metro Area",2,22.0
190,41620,"Salt Lake City, UT Metro Area",2,21.0
191,41660,"San Angelo, TX Metro Area",3,32.0
192,41700,"San Antonio-New Braunfels, TX Metro Area",2,23.0
193,41740,"San Diego-Carlsbad, CA Metro Area",4,10.0
194,41860,"San Francisco-Oakland-Hayward, CA Metro Area",5,10.0
195,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",4,10.0
196,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",2,31.0
197,42100,"Santa Cruz-Watsonville, CA Metro Area",2,21.0
198,42140,"Santa Fe, NM Metro Area",2,33.0
199,42200,"Santa Maria-Santa Barbara, CA Metro Area",2,21.0
200,42220,"Santa Rosa, CA Metro Area",2,31.0
201,42340,"Savannah, GA Metro Area",3,33.0
202,42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",1,32.0
203,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",5,10.0
204,42680,"Sebastian-Vero Beach, FL Metro Area",3,33.0
205,43100,"Sheboygan, WI Metro Area",3,31.0
206,43340,"Shreveport-Bossier City, LA Metro Area",3,33.0
207,43580,"Sioux City, IA-NE-SD Metro Area",2,31.0
208,43620,"Sioux Falls, SD Metro Area",2,32.0
209,43740,,3,
210,43780,"South Bend-Mishawaka, IN-MI Metro Area",3,32.0
211,44060,"Spokane-Spokane Valley, WA Metro Area",2,23.0
212,44100,,3,
213,44140,,3,23.0
214,44180,,2,
215,44300,"State College, PA Metro Area",1,31.0
216,44700,"Stockton-Lodi, CA Metro Area",2,22.0
217,44940,"Sumter, SC Metro Area",3,34.0
218,45060,"Syracuse, NY Metro Area",1,23.0
219,45220,"Tallahassee, FL Metro Area",3,31.0
220,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2,24.0
221,45460,"Terre Haute, IN Metro Area",3,34.0
222,45780,"Toledo, OH Metro Area",1,32.0
223,45820,"Topeka, KS Metro Area",3,33.0
224,45860,,3,
225,46060,"Tucson, AZ Metro Area",1,23.0
226,46140,"Tulsa, OK Metro Area",2,32.0
227,46520,"Urban Honolulu, HI Metro Area",1,21.0
228,46700,,2,32.0
229,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",2,22.0
230,47380,"Waco, TX Metro Area",3,34.0
231,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",5,10.0
232,48300,"Wenatchee, WA Metro Area",3,33.0
233,48540,"Wheeling, WV-OH Metro Area",1,34.0
234,48620,"Wichita, KS Metro Area",2,32.0
235,48700,"Williamsport, PA Metro Area",1,33.0
236,49180,"Winston-Salem, NC Metro Area",3,33.0
237,49340,"Worcester, MA-CT Metro Area",1,24.0
238,49420,"Yakima, WA Metro Area",2,31.0
239,49620,"York-Hanover, PA Metro Area",2,32.0
240,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",3,34.0
241,49700,"Yuba City, CA Metro Area",3,31.0
