Metropolitan Statistical Area,Abbreviation,State,Rail Cluster,Cluster
Akron,AKR,OH,,1
Albany,ALBGA,GA,,1
Albany-Schenectady-Troy,ALBNY,NY,,1
Allentown-Bethlehem-Easton,ABE,PA-NJ,,1
Altoona,ALT,PA,,1
Ann Arbor,AA,MI,,1
Baltimore-Columbia-Towson,BAL,MD,C,1
Binghamton,BIN,NY,,1
Bridgeport-Stamford-Norwalk,BRI,CT,,1
Buffalo-Cheektowaga-Niagara Falls,BUF,NY,C,1
Champaign-Urbana,URB,IL,,1
Charleston,CHS,WV,,1
Cleveland-Elyria,CLE,OH,C,1
Corpus Christi,CC,TX,,1
Dayton,DAY,OH,,1
Decatur,DEC,IL,,1
Detroit-Warren-Dearborn,DET,MI,,1
Erie,ERIE,PA,,1
Eugene,EUG,OR,,1
Flint,FLINT,MI,,1
Fresno,FRE,CA,,1
Hartford-West Hartford-East Hartford,HAR,CT,,1
Ithaca,ITH,NY,,1
Johnstown,JST,PA,,1
Lancaster,LAN,PA,,1
Louisville/Jefferson County,LOU,IN,,1
Memphis,MEM,TN-MS-AR,,1
Milwaukee-Waukesha-West Allis,MIL,WI,,1
Minneapolis-St. Paul-Bloomington,MSP,MN-WI,E,1
New Haven-Milford,HVN,CT,,1
New Orleans-Metairie,NOLA,LA,,1
Pittsburgh,PIT,PA,C,1
Pittsfield,PSF,MA,,1
Providence-Warwick,PRO,RI-MA,,1
Pueblo,PUE,CO,,1
Reading,REA,PA,,1
Reno,RNO,NV,,1
Rochester,ROC,NY,,1
Saginaw,SAG,MI,,1
Scranton--Wilkes-Barre--Hazleton,SWB,PA,,1
St. Cloud,STC,MN,,1
State College,SCE,PA,,1
Syracuse,SYR,NY,,1
Toledo,TOL,OH,,1
Tucson,TUC,AZ,,1
Urban Honolulu,HON,HI,,1
Wheeling,WHE,OH,,1
Williamsport,WIL,PA,,1
Worcester,WOR,CT,,1
Albuquerque,ALQ,NM,,2
Ames,AMES,IA,,2
Anchorage,ANC,AK,,2
Appleton,APP,WI,,2
Austin-Round Rock,AUS,TX,,2
Bakersfield,BAK,CA,,2
Billings,BIL,MT,,2
Bloomington,BLO,IL,,2
Boise City,BOI,ID,,2
