,CLUSTER_APTA_EXTENDED,Mode,Year,CBSA,UPT_ADJ
0,11,Bus,2002,159180,1051661384.0
1,11,Bus,2003,159180,1078555009.9
2,11,Bus,2004,159180,1095838181.1000001
3,11,Bus,2005,159180,1088928251.6
4,11,Bus,2006,159180,1077285847.7
5,11,Bus,2007,159180,1073735827.1
6,11,Bus,2008,159180,1114876837.7
7,11,Bus,2009,159180,1088432622.7
8,11,Bus,2010,159180,1051596178.1
9,11,Bus,2011,159180,1075225420.4
10,11,Bus,2012,159180,1104929778.5
11,11,Bus,2013,159180,1098765038.5
12,11,Bus,2014,159180,1073760788.0
13,11,Bus,2015,159180,1065036349.1
14,11,Bus,2016,159180,1024233416.0
15,11,Bus,2017,159180,989919625.0
16,11,Bus,2018,159180,962002362.5
17,11,Rail,2002,159180,1021054712.6
18,11,Rail,2003,159180,1018948554.0999999
19,11,Rail,2004,159180,1067900410.3
20,11,Rail,2005,159180,1091790763.1
21,11,Rail,2006,159180,1131243068.6
22,11,Rail,2007,159180,1135348965.8999999
23,11,Rail,2008,159180,1186732012.2
24,11,Rail,2009,159180,1170129304.0
25,11,Rail,2010,159180,1161164196.0
26,11,Rail,2011,159180,1209500987.7
27,11,Rail,2012,159180,1228855170.5
28,11,Rail,2013,159180,1225099774.7
29,11,Rail,2014,159180,1253587375.5
30,11,Rail,2015,159180,1230510752.8
31,11,Rail,2016,159180,1194255316.3
32,11,Rail,2017,159180,1160810947.6
33,11,Rail,2018,159180,1139182227.7
34,12,Bus,2002,147880,705087702.0
35,12,Bus,2003,147880,663004855.72
36,12,Bus,2004,147880,733732076.32
37,12,Bus,2005,147880,747562833.8199999
38,12,Bus,2006,147880,782595910.2800001
39,12,Bus,2007,147880,780999104.9
40,12,Bus,2008,147880,813010091.8100001
41,12,Bus,2009,147880,755584608.26
42,12,Bus,2010,147880,734128319.88
43,12,Bus,2011,147880,746599674.95
44,12,Bus,2012,147880,753247883.3799999
45,12,Bus,2013,147880,752340224.49
46,12,Bus,2014,147880,738671906.82
47,12,Bus,2015,147880,697843781.99
48,12,Bus,2016,147880,632140768.74
49,12,Bus,2017,147880,588019791.5799999
50,12,Bus,2018,147880,567485758.59
51,12,Rail,2002,147880,127297365.66699998
52,12,Rail,2003,147880,121702149.666
53,12,Rail,2004,147880,111116884.135
54,12,Rail,2005,147880,151972604.353
55,12,Rail,2006,147880,164538871.02400002
56,12,Rail,2007,147880,168899512.67999998
57,12,Rail,2008,147880,179872267.32999998
58,12,Rail,2009,147880,172818568.09
59,12,Rail,2010,147880,174401771.082
60,12,Rail,2011,147880,182359810.23
61,12,Rail,2012,147880,192807562.65
62,12,Rail,2013,147880,203931111.71
63,12,Rail,2014,147880,208899813.96000004
64,12,Rail,2015,147880,204419575.19
65,12,Rail,2016,147880,204140899.195
66,12,Rail,2017,147880,201119641.672
67,12,Rail,2018,147880,194175792.56800002
68,13,Bus,2002,81560,185113832.18
69,13,Bus,2003,81560,186261122.2
70,13,Bus,2004,81560,192558598.48000002
71,13,Bus,2005,81560,195210366.38
72,13,Bus,2006,81560,203733929.82
73,13,Bus,2007,81560,213174581.46999997
74,13,Bus,2008,81560,231793486.03
75,13,Bus,2009,81560,219650241.29000002
76,13,Bus,2010,81560,212016161.87
77,13,Bus,2011,81560,214379829.09
78,13,Bus,2012,81560,218180455.52
79,13,Bus,2013,81560,219533935.58999997
80,13,Bus,2014,81560,226851814.58
81,13,Bus,2015,81560,226579768.63
82,13,Bus,2016,81560,223088137.23000002
83,13,Bus,2017,81560,222879122.17
84,13,Bus,2018,81560,223363989.17000002
85,13,Rail,2002,81560,28740094.988
86,13,Rail,2003,81560,29946569.445
87,13,Rail,2004,81560,33104743.155
88,13,Rail,2005,81560,36160063.656
89,13,Rail,2006,81560,35882774.122
90,13,Rail,2007,81560,39358394.649000004
91,13,Rail,2008,81560,41338391.631
92,13,Rail,2009,81560,44292241.363
93,13,Rail,2010,81560,57102049.63
94,13,Rail,2011,81560,60208307.36
95,13,Rail,2012,81560,59988962.480000004
96,13,Rail,2013,81560,59181806.84
97,13,Rail,2014,81560,60874930.92
98,13,Rail,2015,81560,61932883.440000005
99,13,Rail,2016,81560,72989525.59
100,13,Rail,2017,81560,75817915.84
101,13,Rail,2018,81560,77422394.83
102,14,Bus,2002,199720,555809388.0799999
103,14,Bus,2003,199720,538860393.2
104,14,Bus,2004,199720,521876691.76
105,14,Bus,2005,199720,547572959.78
106,14,Bus,2006,199720,552004087.26
107,14,Bus,2007,199720,562826293.28
108,14,Bus,2008,199720,578614171.79
109,14,Bus,2009,199720,548654435.9300001
110,14,Bus,2010,199720,532478582.72
111,14,Bus,2011,199720,526432068.72
112,14,Bus,2012,199720,520292485.5
113,14,Bus,2013,199720,526517047.01
114,14,Bus,2014,199720,534694935.53
115,14,Bus,2015,199720,521266440.63
116,14,Bus,2016,199720,502787487.77
117,14,Bus,2017,199720,482425601.07000005
118,14,Bus,2018,199720,474294399.49
119,14,Rail,2002,101780,140591336.8
120,14,Rail,2003,101780,135930774.32999998
121,14,Rail,2004,161660,145643052.39
122,14,Rail,2005,161660,152973758.49
123,14,Rail,2006,161660,161436727.57
124,14,Rail,2007,161660,180334040.46
125,14,Rail,2008,161660,191615617.68
126,14,Rail,2009,199720,193591593.32999998
127,14,Rail,2010,199720,192630415.25
128,14,Rail,2011,199720,197897309.94
129,14,Rail,2012,199720,199346255.68
130,14,Rail,2013,199720,202165868.45
131,14,Rail,2014,199720,214427557.13
132,14,Rail,2015,199720,222985291.19
133,14,Rail,2016,199720,223703357.69
134,14,Rail,2017,199720,225723211.95
135,14,Rail,2018,199720,220585610.01
136,21,Bus,2002,355440,278703089.379
137,21,Bus,2003,355440,281106710.749
138,21,Bus,2004,395340,289112845.68
139,21,Bus,2005,395340,284943032.82
140,21,Bus,2006,395340,261310322.64699998
141,21,Bus,2007,395340,278518819.674
142,21,Bus,2008,395340,267503960.09699994
143,21,Bus,2009,395340,240560524.29000002
144,21,Bus,2010,395340,235066076.999
145,21,Bus,2011,395340,243578014.74
146,21,Bus,2012,395340,276509259.21900004
147,21,Bus,2013,395340,269514740.589
148,21,Bus,2014,395340,272592272.987
149,21,Bus,2015,395340,270814440.508
150,21,Bus,2016,395340,259367362.239
151,21,Bus,2017,395340,245026999.116
152,21,Bus,2018,395340,204817199.33300003
153,21,Rail,2002,74460,22920458.548
154,21,Rail,2003,74460,22478287.235
155,21,Rail,2004,74460,24243903.193
156,21,Rail,2005,74460,28176705.185000002
157,21,Rail,2006,74460,30975228.67
158,21,Rail,2007,109840,30176042.229000002
159,21,Rail,2008,109840,38200348.702
160,21,Rail,2009,109840,33196894.834
161,21,Rail,2010,109840,34074323.261999995
162,21,Rail,2011,109840,38418281.415
163,21,Rail,2012,109840,41635673.811000004
164,21,Rail,2013,109840,45239507.99
165,21,Rail,2014,109840,44481667.803
166,21,Rail,2015,109840,45323397.083
