,CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_PCT,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS2_HINY,YEARS_SINCE_TNC_BUS2_MIDLOW,YEARS_SINCE_TNC_RAIL2_HINY,YEARS_SINCE_TNC_RAIL2_MIDLOW,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS2_HINY_FAC,YEARS_SINCE_TNC_BUS2_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL2_HINY_FAC,YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS2_HINY_FAC_cumsum,YEARS_SINCE_TNC_BUS2_MIDLOW_FAC_cumsum,YEARS_SINCE_TNC_RAIL2_HINY_FAC_cumsum,YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS2_HINY_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS2_MIDLOW_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL2_HINY_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
10,1.0,0,2012,190,1982005795.96,2038141150.56,2071410232.5,33269081.939999744,2040396863.422564,-43693992.00857724,48778969.13951679,1.0804657190646705,7937154.091079908,4.087393873029546,34150.68817084565,10.314420342970774,40.878820848083755,4.946992501197449,1.3892425646395894,0.0,0.0,0.0,0.2507927661176384,0.0,-13607589.765833816,-22340810.70236275,10577677.354012603,2216451.6482137004,2904369.3381795767,-1396245.7504827948,-343883.12016487017,-645260.6230107889,-20082763.36168294,0.0,0.0,0.0,989105.4177299781,0.0,-41728949.565402105,-41567977.71152586,74837059.6515256,0.0,33269081.939999744,-13607589.765833816,-22340810.70236275,10577677.354012603,-343883.12016487017,2216451.6482137004,2904369.3381795767,-1396245.7504827948,-645260.6230107889,-20082763.36168294,0.0,0.0,0.0,989105.4177299781,0.0,74837059.6515256,2085017822.2658339,2093751043.2023628,2060832555.1459875,2071754115.6201649,2069193780.8517864,2068505863.1618204,2072806478.2504828,2072055493.1230109,2091492995.861683,2071410232.5,2071410232.5,2071410232.5,2070421127.08227,2071410232.5,1996573172.8484745
11,1.0,0,2013,190,1982005795.96,2071410232.5,2072288372.99,878140.490000315,2020423212.8999746,-19973650.522590246,49610749.17525179,1.1104609294024512,8025235.15859302,3.9222313615073787,34445.96554906579,10.045860706089446,40.85231664346156,4.9509370327780005,2.2225746763552374,0.0,0.0,0.0,0.2507927661176384,0.0,30261105.473729376,-16125712.701229,9645146.68895739,-11868515.772431824,-4849996.333089038,-3593957.347118773,-295501.2665112632,-7457.638089970438,-22492412.65925564,0.0,0.0,0.0,0.0,0.0,-19327301.555038746,-19480106.729192648,20358247.219192967,0.0,878140.490000315,16653515.70789556,-38466523.40359175,20222824.042969994,-639384.3866761334,-9652064.124218125,-1945626.9949094611,-4990203.097601568,-652718.2611007594,-42575176.020938575,0.0,0.0,0.0,989105.4177299781,0.0,95195306.87071857,2055634857.2821045,2110754896.393592,2052065548.94703,2072927757.376676,2081940437.1142182,2074233999.9849095,2077278576.0876017,2072941091.2511008,2114863549.0109386,2072288372.99,2072288372.99,2072288372.99,2071299267.57227,2072288372.99,1977093066.1192815
12,1.0,0,2014,190,1982005795.96,2072288372.99,2061553202.9300003,-10735170.059999635,2000211236.7393136,-20211976.160660297,49617653.56596589,1.1085994785009323,8134601.025797738,3.7131944769069256,34754.33832760498,10.023007743929279,40.85250783156668,5.137971966807265,3.2225746763552374,0.0,0.0,0.0,0.5821586359545068,0.0,6998942.592536378,-129556.86213518598,11289444.20673783,-15741770.339253187,-4929091.357610782,-637248.0345678243,200984.94527902387,-1256949.7416146037,-26645891.12172653,0.0,0.0,0.0,10676855.22613176,0.0,-20174280.48622313,-20536394.546849187,9801224.486849546,0.0,-10735170.059999635,23652458.300431937,-38596080.26572694,31512268.249707825,-438399.44139710953,-25393834.463471312,-6874718.352520242,-5627451.132169393,-1909668.0027153632,-69221067.1426651,0.0,0.0,0.0,11665960.643861737,0.0,104996531.35756811,2037900744.6295683,2100149283.1957273,2030040934.6802924,2061991602.3713975,2086947037.3934717,2068427921.2825205,2067180654.0621698,2063462870.9327157,2130774270.0726655,2061553202.9300003,2061553202.9300003,2061553202.9300003,2049887242.2861385,2061553202.9300003,1956556671.5724323
13,1.0,0,2015,190,1982005795.96,2061553202.9300003,2028750453.35,-32802749.580000103,1918608067.5721602,-81603169.16715339,50426283.30296429,1.1220928005844006,8230440.190866084,2.7671527308313193,35929.96420406008,9.936043652927408,40.88390260618153,5.245409623728879,4.2225746763552365,0.0,0.0,0.0,0.9013235181155108,0.0,32676381.43955561,-9885858.792611623,10214784.090726614,-80372042.95203517,-18095714.29899884,-1061829.0654498448,434922.4434157232,-585177.1720429517,-26507856.19554527,0.0,0.0,0.0,9214414.466199748,0.0,-83967976.03678602,-84085794.38461894,51283044.80461885,0.0,-32802749.580000103,56328839.73998755,-48481939.05833856,41727052.34043444,-3476.9979813863174,-105765877.41550648,-24970432.651519082,-6689280.197619238,-2494845.174758315,-95728923.33821037,0.0,0.0,0.0,20880375.110061485,0.0,156279576.16218698,1972421613.6100123,2077232392.4083385,1987023401.0095654,2028753930.3479812,2134516330.7655063,2053720886.001519,2035439733.547619,2031245298.5247583,2124479376.6882102,2028750453.35,2028750453.35,2028750453.35,2007870078.2399385,2028750453.35,1872470877.1878128
14,1.0,0,2016,190,1982005795.96,2028750453.35,1944704725.5400004,-84045727.81000009,1870448351.2054448,-48159716.36671574,51170483.27455512,1.1410739225171806,8305487.431038737,2.4508103105144614,36739.20821596556,9.815779744290328,40.983856099556974,5.760343005731259,5.222574676355237,0.0,0.0,0.0,0.9780760622453412,0.0,21557904.316988297,-10670628.62127677,8134768.244128617,-30757229.820481304,-11936511.77563174,-1693219.2388686182,1028974.8868583824,-3100839.9903968656,-26086071.995433774,0.0,0.0,0.0,2197032.9831991917,0.0,-51325821.01091459,-51263135.67301336,-32782592.13698672,0.0,-84045727.81000009,77886744.05697584,-59152567.67961533,49861820.584563054,1025497.888876996,-136523107.23598778,-36906944.42715082,-8382499.436487856,-5595685.165155181,-121814995.33364415,0.0,0.0,0.0,23077408.093260676,0.0,123496984.02520026,1866817981.4830246,2003857293.2196157,1894842904.9554374,1943679227.6511235,2081227832.775988,1981611669.9671512,1953087224.9764884,1950300410.7051556,2066519720.8736446,1944704725.5400004,1944704725.5400004,1944704725.5400004,1921627317.4467397,1944704725.5400004,1821207741.5148
15,1.0,0,2017,190,1982005795.96,1944704725.5400004,1874629430.32,-70075295.22000012,1900043381.204348,29595029.99890316,51744850.10294669,1.1064619154751154,8399260.891499264,2.6703515488898084,37339.93041386851,9.662811572294876,41.021127979784715,5.9215337785000415,6.2225746763552365,0.0,0.0,0.0,0.9780760622453412,0.0,17103963.413601127,18645283.222558737,9267335.806292137,21229304.27307764,-9057946.953923374,-2134344.295119041,374237.5446872733,-948079.9785390293,-25005395.51157149,0.0,0.0,0.0,0.0,0.0,29474357.521063965,29408786.634903025,-99484081.85490316,0.0,-70075295.22000012,94990707.47057697,-40507284.4570566,59129156.39085519,1399735.4335642692,-115293802.96291015,-45964891.3810742,-10516843.731606897,-6543765.14369421,-146820390.84521565,0.0,0.0,0.0,23077408.093260676,0.0,24012902.1702971,1779638722.849423,1915136714.7770565,1815500273.9291449,1873229694.8864357,1989923233.28291,1920594321.7010741,1885146274.051607,1881173195.463694,2021449821.1652155,1874629430.32,1874629430.32,1874629430.32,1851552022.2267392,1874629430.32,1850616528.1497028
16,1.0,0,2018,190,1982005795.96,1874629430.32,1830572626.3499987,-44056803.97000063,1858989004.6523945,-41054376.55195373,51942398.16813394,1.07675973884076,8481156.092641886,2.9560754566985343,38094.69688566875,9.523452402987694,41.07340347754275,6.171160203577224,7.222574676355235,0.0,0.0,0.0,1.0,0.6631395858877326,10304113.396397756,15350149.852120088,7689236.03801168,24787534.827645544,-10460284.383191187,-1888340.750921557,501951.30948506616,-1401352.3916339688,-24104353.595257085,0.0,0.0,0.0,425279.1740703125,-61224588.800483994,-40020655.32375736,-41015388.75867526,-3041415.211325366,0.0,-44056803.97000063,105294820.86697473,-25157134.60493651,66818392.42886687,1901686.7430493354,-90506268.1352646,-56425175.76426539,-12405184.482528454,-7945117.535328179,-170924744.44047272,0.0,0.0,0.0,23502687.26733099,-61224588.800483994,20971486.958971735,1725277805.483024,1855729760.9549353,1763754233.9211318,1828670939.6069493,1921078894.4852633,1886997802.114264,1842977810.8325272,1838517743.8853269,2001497370.7904716,1830572626.3499987,1830572626.3499987,1830572626.3499987,1807069939.0826678,1891797215.1504827,1809601139.391027
27,1.0,1,2012,190,1267139821.0349991,1545912857.130001,1564035023.61,18122166.47999953,1596740519.3960507,17282680.51630597,62726144.35473782,1.9002067312497557,8781393.845059885,4.068296900162343,35778.921973924764,11.420885081863794,36.587438562194706,4.871774141183501,0.0,0.0,1.5787699093719372,0.0,0.3868462263774603,0.0,24694636.543292586,-13576689.46265823,7414166.87630822,1321284.9246440162,3896940.705778075,-1174198.6771389402,19098.195617616093,-266611.58784374193,0.0,0.0,-3586807.182554281,0.0,159194.4621968742,0.0,18901014.797642194,18947624.49838557,-825458.0183860287,0.0,18122166.47999953,24694636.543292586,-13576689.46265823,7414166.87630822,19098.195617616093,1321284.9246440162,3896940.705778075,-1174198.6771389402,-266611.58784374193,0.0,0.0,-3586807.182554281,0.0,159194.4621968742,0.0,-825458.0183860287,1539340387.0667074,1577611713.072658,1556620856.7336917,1564015925.4143822,1562713738.685356,1560138082.9042218,1565209222.287139,1564301635.1978436,1564035023.61,1564035023.61,1567621830.7925541,1564035023.61,1563875829.147803,1564035023.61,1564860481.628386
28,1.0,1,2013,190,1267139821.0349991,1564035023.61,1568704155.6000006,4669131.990000408,1571196037.5486026,-25544481.84744768,63972630.16732734,2.038007057183145,8869893.079646505,3.9130888221316433,36097.83989948904,11.077376610356808,36.57294496488832,4.874791814706361,0.0,0.0,2.5293321967374847,0.0,0.3868462263774603,0.0,32225965.274350204,-41322200.34749067,6585760.113238089,-8588563.907660255,-4125434.717419399,-3649312.83785584,-136645.21232937847,-16007.47603706495,0.0,0.0,-3762910.308666724,0.0,0.0,0.0,-22789349.41987105,-23331882.19162864,28001014.18162904,0.0,4669131.99000041,56920601.81764279,-54898889.810148895,13999926.98954631,-117547.01671176238,-7267278.9830162395,-228494.01164132403,-4823511.5149947805,-282619.0638808069,0.0,0.0,-7349717.491221005,0.0,159194.4621968742,0.0,27175556.16324301,1511783553.782358,1623603045.4101496,1554704228.6104543,1568821702.6167123,1575971434.5830169,1568932649.611642,1573527667.1149955,1568986774.6638815,1568704155.6000006,1568704155.6000006,1576053873.0912216,1568704155.6000006,1568544961.1378038,1568704155.6000006,1541528599.4367576
29,1.0,1,2014,190,1267139821.0349991,1568704155.6000006,1617627298.110001,48923142.51000028,1626622876.6746426,55426839.12603961,65974318.95474902,2.008323470790476,8973479.92868156,3.70224652948721,36223.044610944766,11.05132251901751,36.603891467717965,5.143057390757506,0.0,0.0,3.5293321967374847,0.0,0.6309375518283213,0.0,53256520.74179675,8497662.421004435,7709240.572735378,-12074284.10480488,-2160878.589712676,-313129.2540855352,225117.15243169363,-1228482.1932955005,0.0,0.0,-4025133.1858379794,0.0,5960803.289246411,0.0,55847436.84947809,56269175.04037952,-7346032.530379239,0.0,48923142.51000028,110177122.55943954,-46401227.38914446,21709167.562281687,107570.13571993125,-19341563.08782112,-2389372.601354,-5136640.769080316,-1511101.2571763075,0.0,0.0,-11374850.677058984,0.0,6119997.7514432855,0.0,19829523.63286377,1507450175.5505614,1664028525.4991455,1595918130.5477195,1617519727.974281,1636968861.197822,1620016670.711355,1622763938.8790815,1619138399.3671775,1617627298.110001,1617627298.110001,1629002148.78706,1617627298.110001,1611507300.3585577,1617627298.110001,1597797774.4771373
