,CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_PCT,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS,YEARS_SINCE_TNC_RAIL,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
0,1.0,0,2002,150,1761462786.36,0.0,1761462786.36,0.0,1655659502.7856848,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761462786.36,1761462786.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1761462786.36,1761462786.36,1761462786.36,1761462786.36,1761462786.36,1761462786.36,1761462786.36,1761462786.36,1761462786.36,1761462786.36,1761462786.36,1761462786.36,1761462786.36
1,1.0,0,2003,170,1863830568.36,1761462786.36,1872600165.8200004,8769597.460000366,1855267571.016111,97191413.12472787,53511855.45197564,0.9087722786487584,7444959.695870402,2.2325797218746053,41251.440424007444,10.25484704093712,51.52704398587254,3.939952325953719,0.0,0.0,0.0,0.0,62259281.32544343,15754416.905184805,12294855.428967882,36067101.73654677,9885094.368817223,-883165.0244708784,-24689227.792910457,0.0,0.0,0.0,0.0,0.0,110688356.94757876,112195956.23241895,-103426358.7724186,102367782.0,111137379.46000037,62259281.32544343,15754416.905184805,12294855.428967882,-24689227.792910457,36067101.73654677,9885094.368817223,-883165.0244708784,0.0,0.0,0.0,0.0,0.0,-103426358.7724186,1810340884.494557,1856845748.9148157,1860305310.3910325,1897289393.6129107,1836533064.0834537,1862715071.451183,1873483330.8444712,1872600165.8200004,1872600165.8200004,1872600165.8200004,1872600165.8200004,1872600165.8200004,1976026524.592419
2,1.0,0,2004,170,1863830568.36,1872600165.8200004,1884064007.9600008,11463842.139999662,1901088151.5723825,45820580.55627202,52646932.51433374,0.9422219823298732,7407268.458182408,2.5574546443401758,39692.83451118798,10.187176348684725,48.43100734111076,3.919264931788684,0.0,0.0,0.0,0.0,11318040.184229165,-9645827.32571226,16051434.846306188,40922412.09504553,14326461.292135352,-989715.384849122,-24436408.334961,0.0,0.0,0.0,0.0,0.0,47546397.37219386,47301304.75311656,-35837462.6131169,0.0,11463842.139999662,73577321.5096726,6108589.579472546,28346290.275274068,-49125636.127871454,76989513.83159229,24211555.660952576,-1872880.4093200006,0.0,0.0,0.0,0.0,0.0,-139263821.3855355,1810486686.450328,1877955418.3805282,1855717717.6847267,1933189644.0878723,1807074494.1284084,1859852452.2990482,1885936888.3693209,1884064007.9600008,1884064007.9600008,1884064007.9600008,1884064007.9600008,1884064007.9600008,2023327829.3455362
3,1.0,0,2005,170,1863830568.36,1884064007.9600008,1901641258.1800013,17577250.220000587,1912849055.16401,11760903.591627333,50909263.95629976,0.9354244379714088,7621273.023837348,3.0170142410821787,38457.32806969037,10.159560926965373,46.6429768872894,3.903371779859473,0.0,0.0,0.0,0.0,-44701511.36778121,924589.88269896,16403488.153520567,53252545.38888331,13102199.366026156,-1188367.989698727,-21863053.520446144,0.0,0.0,0.0,0.0,0.0,15929889.913202912,14704133.09107348,2873117.1289271056,0.0,17577250.220000587,28875810.14189139,7033179.462171505,44749778.42879464,-70988689.6483176,130242059.2204756,37313755.02697873,-3061248.3990187272,0.0,0.0,0.0,0.0,0.0,-136390704.2566084,1872765448.0381098,1894608078.7178297,1856891479.7512066,1972629947.8283188,1771399198.9595256,1864327503.1530225,1904702506.57902,1901641258.1800013,1901641258.1800013,1901641258.1800013,1901641258.1800013,1901641258.1800013,2038031962.4366097
4,1.0,0,2006,170,1863830568.36,1901641258.1800013,1902366490.360001,725232.1800005287,1967950580.0067747,55101524.84276409,51451544.04181245,0.9366327660252424,7869789.180884029,3.3057398473049515,36783.56405448143,10.04328698721292,44.692079309999066,4.226252526237141,0.0,0.0,0.0,0.0,15981090.611372713,1746308.9775097666,20969268.50361808,30541476.77497968,21024774.79362538,-750701.505949917,-24566729.89636109,-8477978.409693945,0.0,0.0,0.0,0.0,56467509.84910066,56774086.37108194,-56048854.19108141,0.0,725232.1800005287,44856900.7532641,8779488.439681271,65719046.932412714,-95555419.54467869,160783535.99545527,58338529.820604116,-3811949.9049686445,-8477978.409693945,0.0,0.0,0.0,0.0,-192439558.4476898,1857509589.606737,1893587001.9203198,1836647443.4275885,1997921909.9046798,1741582954.3645458,1844027960.539397,1906178440.2649698,1910844468.769695,1902366490.360001,1902366490.360001,1902366490.360001,1902366490.360001,2094806048.8076909
5,1.0,0,2007,170,1863830568.36,1902366490.360001,1913790285.1499984,11423794.789997267,1993700856.108468,25750276.10169392,52716909.34808236,0.9644984268945709,7933543.98618456,3.4736843161427053,37318.51860210772,9.774369660186258,44.36662500343847,4.397071963893274,0.0,0.0,0.0,0.0,35764353.403019965,-10836412.85740015,6607709.035553007,16817237.638187632,-6953552.7870675875,-2171306.0443704017,-8443739.860617736,-4298726.675962767,0.0,0.0,0.0,0.0,26485561.85134195,26053610.5461974,-14629815.756200135,0.0,11423794.789997267,80621254.15628406,-2056924.417718878,72326755.96796572,-103999159.40529643,177600773.6336429,51384977.03353653,-5983255.949339046,-12776705.085656712,0.0,0.0,0.0,0.0,-207069374.20388994,1833169030.9937143,1915847209.5677173,1841463529.1820326,2017789444.5552948,1736189511.5163555,1862405308.116462,1919773541.0993376,1926566990.235655,1913790285.1499984,1913790285.1499984,1913790285.1499984,1913790285.1499984,2120859659.3538883
6,1.0,0,2008,170,1863830568.36,1913790285.1499984,2000976410.03,87186124.88000126,2078523943.2462952,84823087.13782766,53303746.65764515,0.9216536037017736,8002584.537375301,3.900201130964749,37298.33725348129,9.921691332285004,43.57554650162044,4.459599079514639,0.0,0.0,0.09683084167473198,0.0,28864514.52707358,14946703.28992076,4912703.78112493,40375963.61266983,-269351.7961470952,2064164.4096571263,-10645472.335108848,-1717734.504264931,0.0,0.0,4013.406677186924,0.0,78535504.39160256,80791139.47202459,6394985.40797668,0.0,87186124.88000126,109485768.68335764,12889778.872201882,77239459.74909066,-114644631.74040528,217976737.24631274,51115625.23738944,-3919091.53968192,-14494439.589921642,0.0,0.0,4013.406677186924,0.0,-200674388.79591325,1891490641.3466423,1988086631.157798,1923736950.2809093,2115621041.7704053,1782999672.783687,1949860784.7926106,2004895501.569682,2015470849.6199217,2000976410.03,2000976410.03,2000972396.6233227,2000976410.03,2201650798.8259134
7,1.0,0,2009,170,1863830568.36,2000976410.03,1923079955.98,-77896454.04999986,1936278710.615585,-142245232.63071033,52877839.01771028,1.0138731852070155,7938424.491634468,2.8440878980479947,35583.008903825255,10.046345189232744,42.742391039005,4.688440091816648,0.0,0.0,0.09622341129804404,0.0,-5238683.784338243,-32684183.214671664,-1632733.9821411737,-108319943.15217808,25517399.353976045,1836566.1354223927,-13704440.104498973,-5540872.651511926,0.0,0.0,0.0,0.0,-139766891.39994162,-138179816.34589797,60283362.29589813,0.0,-77896454.04999986,104247084.89901939,-19794404.34246978,75606725.76694949,-128349071.84490424,109656794.09413466,76633024.59136549,-2082525.404259527,-20035312.24143357,0.0,0.0,4013.406677186924,0.0,-140391026.5000151,1818832871.0809805,1942874360.3224697,1847473230.2130506,2051429027.8249042,1813423161.8858654,1846446931.3886344,1925162481.3842595,1943115268.2214336,1923079955.98,1923079955.98,1923075942.5733228,1923079955.98,2063470982.480015
8,1.0,0,2010,170,1863830568.36,1923079955.98,1860333872.070001,-62746083.90999884,1912729230.3831067,-23549480.232477967,50002686.77696594,1.0364740338707663,7918390.719777402,3.3019530504726777,34806.694751728886,10.294544451171738,42.307125788411724,4.916372082150351,0.0,0.0,0.17741064538116813,0.0,-66960638.01054037,-8699794.616986342,1758287.3113180343,49894050.33635249,12973818.469862178,2050095.582027491,-6420335.6727005225,-5848514.4007678265,0.0,0.0,3344.065912233258,0.0,-21249686.935522623,-22443734.832280464,-40302349.07771838,0.0,-62746083.90999884,37286446.88847902,-28494198.959456123,77365013.07826753,-134769407.51760477,159550844.43048716,89606843.06122766,-32429.822232036153,-25883826.642201394,0.0,0.0,7357.472589420182,0.0,-180693375.5777335,1823047425.181522,1888828071.029457,1782968858.9917333,1995103279.5876057,1700783027.6395137,1770727029.0087733,1860366301.892233,1886217698.7122023,1860333872.070001,1860333872.070001,1860326514.5974114,1860333872.070001,2041027247.6477344
9,1.0,0,2011,170,1863830568.36,1860333872.070001,1889453859.5600004,29119987.48999908,1949239469.4477608,36510239.06465338,48792827.08086081,1.0394573409790322,8001920.8545296965,4.040870479309044,34246.36857620114,10.595549773564251,41.233427092357566,4.842590737722168,0.1471756390025553,0.0,0.2413628003775359,0.0,-34826290.62867718,-326081.131123798,7642263.2967142975,68921757.18092167,7316747.57007429,2977766.883491364,-10124288.501116274,1314308.817671444,-4630488.962658277,0.0,2492.468821400616,0.0,38268186.99411894,37069071.486734375,-7949083.996735289,0.0,29119987.48999908,2460156.259801835,-28820280.090579923,85007276.37498182,-144893696.01872104,228472601.61140883,96923590.63130195,2945337.0612593275,-24569517.82452995,-4630488.962658277,0.0,9849.941410820798,0.0,-188642459.57446876,1886993703.3001986,1918274139.6505804,1804446583.1850185,2034347555.5787215,1660981257.9485917,1792530268.9286985,1886508522.4987411,1914023377.3845303,1894084348.5226586,1889453859.5600004,1889444009.6185896,1889453859.5600004,2078096319.1344693
