CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_PCT,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS2_HINY,YEARS_SINCE_TNC_BUS2_MIDLOW,YEARS_SINCE_TNC_RAIL2_HINY,YEARS_SINCE_TNC_RAIL2_MIDLOW,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS2_HINY_FAC,YEARS_SINCE_TNC_BUS2_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL2_HINY_FAC,YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,0,2002,190,1982005795.96,0.0,1982005795.96,0.0,1878108677.180684,0.0,50210669.00210818,0.9621430733715927,6960297.260328639,1.9678602713629372,41470.96073672567,10.255436271679107,51.770454283682646,3.9479789383814294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982005795.96,1982005795.96
1.0,0,2003,190,1982005795.96,1982005795.96,1989456244.2200003,7450448.260000296,1996006800.991343,117898123.8106589,52344051.40254159,0.929744670299982,7091861.280331265,2.253697219761543,40652.8663922252,10.13594128828377,49.83315794135178,3.9479789383814294,0.0,0.0,0.0,0.0,0.0,0.0,73668137.88469331,23451013.618424144,14890801.861083739,32104661.90476426,10466670.607873129,-1625621.6106047733,-20824628.856763072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132131035.40947074,134964439.96745044,-127513991.70745014,0.0,7450448.260000296
1.0,0,2004,190,1982005795.96,1989456244.2200003,2005256516.7600007,15800272.539999653,2038892064.6300895,42885263.638746664,52781898.32296497,0.9519268907247118,7255845.81224522,2.571844759036596,39498.744641826685,10.020799597012093,48.00153539815052,3.9479789383814294,0.0,0.0,0.0,0.0,0.0,0.0,14858985.975418903,-15039078.306331806,17960858.08231418,33217281.546094477,15216253.240012739,-1671097.7800906983,-19744158.019365016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44799044.73805277,44657132.23986243,-28856859.69986278,0.0,15800272.539999653
1.0,0,2005,190,1982005795.96,2005256516.7600007,2027308341.580001,22051824.82000073,2051459535.020378,12567470.390288964,51564837.80566731,0.9563287440913982,7425976.160751465,3.0278754080670103,38481.097306977375,9.895713208163407,46.35899833622125,3.9479789383814294,0.0,0.0,0.0,0.0,0.0,0.0,-34748716.95329104,-5217099.738329716,18346612.535783585,43167395.65700588,13908939.910751114,-1885064.5419131343,-17712133.750411034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15859933.119595664,14289432.493516399,7762392.326484324,0.0,22051824.82000073
1.0,0,2006,190,1982005795.96,2027308341.580001,2037579441.9600015,10271100.38000074,2111449515.884672,59989980.86429319,51619151.52824698,0.9410868439924658,7653758.197786803,3.3189073858290477,36916.26663164042,9.797011578999177,44.53104356492483,4.314808527150035,0.0,0.0,0.0,0.0,0.0,0.0,5598070.787679876,10082024.061600616,23350125.55340504,25074421.321414538,22670853.3262271,-1525514.2877553985,-19862488.235452343,-2147363.8358005816,0.0,0.0,0.0,0.0,0.0,0.0,63240128.69131885,63271256.07457158,-53000155.69457085,0.0,10271100.38000074
1.0,0,2007,190,1982005795.96,2037579441.9600015,2058514380.3499987,20934938.389997292,2131304168.759345,19854652.874673076,52714217.325170904,0.9756367138201031,7724917.105625993,3.490472108237769,37453.02394448021,9.613729678851527,43.881940918520016,4.424572034110734,0.0,0.0,0.0,0.0,0.0,0.0,39707341.84719135,-20385941.443401486,7751177.775634684,13959297.741871309,-8104038.106476405,-2592116.0127329226,-7098774.9855081625,-731707.9485652362,0.0,0.0,0.0,0.0,0.0,0.0,22505238.868013114,21864377.636230946,-929439.2462336551,0.0,20934938.389997292
1.0,0,2008,190,1982005795.96,2058514380.3499987,2159213508.43,100699128.08000116,2233299313.5462546,101995144.7869103,53373827.418880016,0.933870791840573,7772765.29083784,3.916402236479847,37497.45987448023,9.791542676142488,43.095951393756835,4.500207363275041,0.0,0.0,0.0,0.0,0.07649624739193236,0.0,35569324.878848195,25255273.60714328,5683929.518882762,33276852.581209246,-675166.989168596,2466795.8584225625,-8704013.400386192,-505423.5357293539,0.0,0.0,0.0,0.0,2734634.305400402,0.0,95102206.82462232,98944884.74414554,1754243.3358556218,0.0,100699128.08000116
1.0,0,2009,190,1982005795.96,2159213508.43,2073487038.28,-85726470.14999983,2090791533.1921644,-142507780.35409075,53288697.1024242,1.031745283638297,7745481.232115219,2.8613463106181007,35760.62639454724,9.93776644528269,42.15884607313907,4.690485467492356,0.0,0.0,0.0,0.0,0.07649624739193236,0.0,-4782853.418307005,-63621596.39208855,-1473131.0837824005,-90147911.71434282,29211014.582727294,2238488.214825728,-11280334.259414207,-1204891.4289271988,0.0,0.0,0.0,0.0,0.0,0.0,-141061215.49930918,-139331018.16473734,53604548.01473754,0.0,-85726470.14999983
1.0,0,2010,190,1982005795.96,2073487038.28,2006777276.870001,-66709761.40999908,2052079946.4800897,-38711586.71207492,50477491.03234956,1.0627702627404718,7755004.461786323,3.3160361555710054,34836.138545565555,10.140694895141937,41.68489362193537,4.927627384882333,0.1634957296091278,0.0,0.0,0.0,0.14858457201804443,0.0,-71064888.0412221,-17824527.549885668,2002182.0492676473,41136548.147474006,15500007.41895851,2916828.859605046,-5563187.445922444,-1451770.729163214,-3861484.522840364,0.0,0.0,0.0,2278562.353298053,0.0,-35931729.46043052,-36059625.766734876,-30650135.643264204,0.0,-66709761.40999908
1.0,0,2011,190,1982005795.96,2006777276.870001,2038141150.5600002,31363873.68999898,2084090855.4311414,32010908.951052014,49319062.1553571,1.0427420216150414,7835845.19026255,4.054467268971648,34275.85754414828,10.405778644450157,40.9183242644937,4.864915058047892,0.6329214027814667,0.0,0.0,0.0,0.2035540354384222,0.0,-40181533.355351195,15322710.39947036,8497432.322752673,56740870.44683709,8606390.516923353,3860938.620301901,-8375600.478564383,414833.6296166483,-12057002.69891044,0.0,0.0,0.0,1698305.5275426244,0.0,34527344.93061863,33561714.23095409,-2197840.5409551077,0.0,31363873.68999898
