,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_cumsum
2983,"Salt Lake City, UT Metro Area-Bus",2002,0,21,20.201510000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.201510000000003,20.201510000000003,20.201510000000003,20.201510000000003,20.201510000000003,20.201510000000003,20.201510000000003,20.201510000000003,20.201510000000003,20.201510000000003,20.201510000000003,20.201510000000003
2984,"Salt Lake City, UT Metro Area-Bus",2003,0,21,21.260775999999982,-327824.8845053289,0.0,307643.8187003088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.260775999999982,21.260775999999982,21.260775999999982,21.260775999999982,21.260775999999982,21.260775999999982,21.260775999999982,21.260775999999982,21.260775999999982,21.260775999999982,21.260775999999982,21.260775999999982
2985,"Salt Lake City, UT Metro Area-Bus",2004,0,21,21.78435400000001,-21805.78765369417,0.0,-196012.91963596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.78435400000001,21.78435400000001,21.78435400000001,21.78435400000001,21.78435400000001,21.78435400000001,21.78435400000001,21.78435400000001,21.78435400000001,21.78435400000001,21.78435400000001,21.78435400000001
2986,"Salt Lake City, UT Metro Area-Bus",2005,0,21,21.585601000000036,81885.96482483255,0.0,100122.93784676422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.585601000000036,21.585601000000036,21.585601000000036,21.585601000000036,21.585601000000036,21.585601000000036,21.585601000000036,21.585601000000036,21.585601000000036,21.585601000000036,21.585601000000036,21.585601000000036
2987,"Salt Lake City, UT Metro Area-Bus",2006,0,21,21.082629,-307338.4025746824,0.0,-406070.48158693576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.082629,21.082629,21.082629,21.082629,21.082629,21.082629,21.082629,21.082629,21.082629,21.082629,21.082629,21.082629
2988,"Salt Lake City, UT Metro Area-Bus",2007,0,21,20.63592100000001,69998.57284614585,0.0,-446311.0411009702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.63592100000001,20.63592100000001,20.63592100000001,20.63592100000001,20.63592100000001,20.63592100000001,20.63592100000001,20.63592100000001,20.63592100000001,20.63592100000001,20.63592100000001,20.63592100000001
2989,"Salt Lake City, UT Metro Area-Bus",2008,0,21,22.062789000000006,-67635.31446084505,0.0,-660647.0068627557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.062789000000006,22.062789000000006,22.062789000000006,22.062789000000006,22.062789000000006,22.062789000000006,22.062789000000006,22.062789000000006,22.062789000000006,22.062789000000006,22.062789000000006,22.062789000000006
2990,"Salt Lake City, UT Metro Area-Bus",2009,0,21,21.579948000000012,-778.7123994384925,0.0,-195271.98693192672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.579948000000012,21.579948000000012,21.579948000000012,21.579948000000012,21.579948000000012,21.579948000000012,21.579948000000012,21.579948000000012,21.579948000000012,21.579948000000012,21.579948000000012,21.579948000000012
2991,"Salt Lake City, UT Metro Area-Bus",2010,0,21,22.250242999999998,-245265.0495632879,0.0,101698.73293248683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.250242999999998,22.250242999999998,22.250242999999998,22.250242999999998,22.250242999999998,22.250242999999998,22.250242999999998,22.250242999999998,22.250242999999998,22.250242999999998,22.250242999999998,22.250242999999998
2992,"Salt Lake City, UT Metro Area-Bus",2011,0,21,22.590785000000018,-411426.6244088585,0.0,-421275.153493872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.590785000000018,22.590785000000018,22.590785000000018,22.590785000000018,22.590785000000018,22.590785000000018,22.590785000000018,22.590785000000018,22.590785000000018,22.590785000000018,22.590785000000018,22.590785000000018
