,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
2259,"Napa, CA Metro Area-Bus",2007,0,31,0.7965740000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7965740000000002,0.7965740000000002,0.7965740000000002,0.7965740000000002,0.7965740000000002,0.7965740000000002
2260,"Napa, CA Metro Area-Bus",2008,0,31,0.7569130000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7569130000000002,0.7569130000000002,0.7569130000000002,0.7569130000000002,0.7569130000000002,0.7569130000000002
2261,"Napa, CA Metro Area-Bus",2009,0,31,0.7120800000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7120800000000004,0.7120800000000004,0.7120800000000004,0.7120800000000004,0.7120800000000004,0.7120800000000004
2262,"Napa, CA Metro Area-Bus",2010,0,31,0.6304699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6304699999999999,0.6304699999999999,0.6304699999999999,0.6304699999999999,0.6304699999999999,0.6304699999999999
2263,"Napa, CA Metro Area-Bus",2011,0,31,0.6133130000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6133130000000002,0.6133130000000002,0.6133130000000002,0.6133130000000002,0.6133130000000002,0.6133130000000002
2264,"Napa, CA Metro Area-Bus",2012,0,31,0.6551660000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6551660000000005,0.6551660000000005,0.6551660000000005,0.6551660000000005,0.6551660000000005,0.6551660000000005
2265,"Napa, CA Metro Area-Bus",2013,0,31,0.8328239999999999,105427.04198729778,2279.653906774075,82744.4982822684,-2406.918474275938,-3799.785316919052,0.0,0.10542704198729778,0.002279653906774075,0.0827444982822684,-0.002406918474275938,-0.003799785316919052,0.0,0.7273969580127021,0.8305443460932258,0.7500795017177315,0.8352309184742759,0.8366237853169189,0.8328239999999999
2266,"Napa, CA Metro Area-Bus",2014,0,31,0.9843149999999997,25032.659590730647,2593.672214326909,4477.723030786857,-2374.6148625272517,-4819.510820097759,0.0,0.13045970157802841,0.004873326121100984,0.08722222131305525,-0.00478153333680319,-0.008619296137016813,0.0,0.8538552984219713,0.9794416738788987,0.8970927786869445,0.9890965333368029,0.9929342961370166,0.9843149999999997
2267,"Napa, CA Metro Area-Bus",2015,0,31,1.1556449999999998,12797.591178859591,1918.2888556212329,43941.12898579637,-115.92427778796014,-22040.402948403556,-32742.003486647936,0.14325729275688803,0.006791614976722217,0.13116335029885162,-0.00489745761459115,-0.030659699085420367,-0.032742003486647936,1.0123877072431118,1.1488533850232776,1.0244816497011482,1.160542457614591,1.1863046990854202,1.1883870034866477
2268,"Napa, CA Metro Area-Bus",2016,0,31,1.2565579999999987,6108.546007436933,-906.1279547986916,76586.39583413381,-15302.45833020017,-17673.10909289946,-38441.08097441089,0.14936583876432497,0.0058854870219235255,0.2077497461329854,-0.02019991594479132,-0.04833280817831983,-0.07118308446105882,1.1071921612356737,1.2506725129780751,1.0488082538670134,1.2767579159447902,1.3048908081783186,1.3277410844610575
2269,"Napa, CA Metro Area-Bus",2017,0,31,1.188517000000001,-8805.10483112394,-87.62073879078197,-11692.53462708569,20355.74483590922,10519.518608813729,-41797.82530711746,0.14056073393320104,0.005797866283132743,0.19605721150589972,0.00015582889111790063,-0.0378132895695061,-0.11298090976817629,1.0479562660667998,1.182719133716868,0.9924597884941012,1.188361171108883,1.226330289569507,1.3014979097681771
2270,"Napa, CA Metro Area-Bus",2018,0,31,1.1365529999999997,-21358.92087892448,-860.1607876662366,11761.530652941326,11070.280719085133,15961.857519337447,-39534.526810970456,0.11920181305427655,0.004937705495466507,0.20781874215884105,0.011226109610203034,-0.02185143205016865,-0.15251543657914673,1.0173511869457232,1.1316152945045332,0.9287342578411586,1.1253268903897966,1.1584044320501683,1.2890684365791465
